cluster_label,category,score
4,fibrous_synthetic_materials,3.865034309769403
4,mechanical_non_combustion_particulate,1.3403136827072448
4,mixed_unknown,1.0840572758553804
4,biological,0.889703349701811
4,industrial,0.6562224363306279
4,combustion_related,-1.2820380834070026
3,mixed_unknown,3.19256183621186
3,mechanical_non_combustion_particulate,2.7201959209585875
3,biological,1.1854766794787195
3,industrial,0.4411520823456405
3,fibrous_synthetic_materials,-1.5743269960756994
3,combustion_related,-3.273698215910298
2,fibrous_synthetic_materials,2.1310471565927522
2,biological,1.262171358058709
2,mixed_unknown,0.9111263236668701
2,industrial,0.7586227713727755
2,mechanical_non_combustion_particulate,0.669047372189076
2,combustion_related,-1.0880245760480038
1,combustion_related,3.547243605829177
1,industrial,-1.248233857365009
1,mechanical_non_combustion_particulate,-2.0746409396524497
1,fibrous_synthetic_materials,-2.962696961568033
1,biological,-3.0373411081020647
1,mixed_unknown,-4.842413272137916
