cluster_label,primary_category,primary_score,secondary_category,secondary_score,score_gap,confidence,morphology_summary,evidence_summary
1,combustion_related,3.547243605829177,industrial,-1.248233857365009,4.795477463194186,high,"smaller particle bodies, shorter upper-tail particle extent, more compact non-elongated shapes, less circular particles, more aligned orientations","lower aspect_ratio_median (z=-1.77, score=+1.41); lower area_median (z=-1.19, score=+1.25); lower feret_p90 (z=-1.04, score=+0.88); lower circularity_median (z=-0.83, score=-0.79)"
2,fibrous_synthetic_materials,2.1310471565927522,biological,1.262171358058709,0.8688757985340432,high,"heterogeneous circularity, less circular particles","lower circularity_median (z=-0.83, score=+0.83); higher aspect_ratio_median (z=+0.66, score=+0.79); higher eccentricity_p90 (z=+0.28, score=+0.28); higher eccentricity_iqr (z=+0.44, score=+0.27)"
3,mixed_unknown,3.19256183621186,mechanical_non_combustion_particulate,2.7201959209585875,0.47236591525327265,moderate,"larger particle bodies, long upper-tail particle extent, round compact particles, heterogeneous solidity, high orientation dispersion, broad directional spread, lower particle counts","higher orientation_entropy (z=+1.19, score=+1.13); higher area_iqr (z=+1.29, score=+1.03); higher circular_variance (z=+0.99, score=+0.89); lower circularity_iqr (z=-0.94, score=-0.75)"
4,fibrous_synthetic_materials,3.865034309769403,mechanical_non_combustion_particulate,1.3403136827072448,2.524720627062158,high,"long upper-tail particle extent, very elongated tail cases, heterogeneous circularity, higher particle counts, darker overall deposits","higher aspect_ratio_p90 (z=+1.04, score=+1.20); higher feret_p90 (z=+0.95, score=+0.85); higher aspect_ratio_median (z=+0.67, score=+0.80); lower circularity_median (z=-0.52, score=+0.52)"
