cluster_label,count,fraction,num_particles,mean_pixel_intensity,orientation_entropy,circular_variance,area_median,area_iqr,solidity_median,solidity_iqr,solidity_p90,aspect_ratio_median,aspect_ratio_iqr,aspect_ratio_p90,feret_iqr,feret_p90,eccentricity_iqr,eccentricity_p90,circularity_median,circularity_iqr,circularity_p90,mean_intensity_median,mean_intensity_iqr,mean_intensity_p90,roi_s_mean,roi_s_std,roi_v_mean,roi_v_std,roi_lab_l_mean,roi_lab_b_mean,roi_lab_b_std,particle_mask_mean_rgb_contrast,total,transit,park,gas_station,parking,industrial,place_diversity_entropy,green_vs_traffic_ratio_500m,capture_month_sin,season_winter,season_summer,season_autumn,roi_h_mean,roi_h_std,roi_lab_a_mean,roi_lab_a_std
1,1773,0.6877424359968968,0.022338206241468657,0.07101821803935274,-0.14598393266461468,-0.08870955251943653,0.0,-0.2633590402461729,0.0,0.0,0.0,-0.05146065015512914,0.0,-0.021506949103301334,-0.0019192301221055469,-0.16719412889090776,0.05531750914070433,0.0,0.0,0.0,0.0,0.17084512445853733,0.018898963928222656,0.0,-0.015396482855728024,-0.12483891690710498,0.05443729367556308,-0.10511047256543854,0.057549026452122315,-0.05083747110334905,-0.07030229357882256,-0.08688186908015808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06449668886162008,-0.048818752754832544,0.009758381151103572,-0.14260984940044816
2,367,0.14235841737781227,0.17333349964720393,-4.367193238041043,0.13589247241100524,0.029790090298892725,0.0,0.0,0.0,0.0,0.0,0.21747135861946137,0.0,0.513126818223448,0.11779475335915632,0.3914450175316476,0.1521602878146296,0.0,0.0,0.0,0.0,-0.6446988303422405,-0.5868304570515951,0.0,0.12068275503366979,2.076083202316844,-0.5765873538418881,1.7791022185795997,-0.5210189759430077,0.2671703931566048,0.7248560687119813,0.36934815741503474,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6837118936203387,0.7494364585447075,-0.14255780829138842,0.6925127532877574
3,438,0.16989914662529093,-0.4710421097086362,0.04550780876309217,0.739673893891017,0.5651928400915749,2.2533357982860136,0.8031275757699032,0.0,0.9678462220757481,0.0,-0.028175341367472257,-1.3120901395288023,-0.497582941624312,0.29575861029548317,0.731405297750717,-4.215884372522034,0.0,1.0,-1.6619629456463183,0.0,-0.4118910286889143,0.03556537628173828,0.0,-0.019094495701506644,-0.08506583743699847,0.13304748198130698,-0.14916386854524638,0.11626941618548504,-0.07072787270263381,-0.03504239501498888,0.11450468732318533,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04035343835135689,-0.04589155109749686,0.05221345960289315,0.011342916941842664
