feature,eta_squared,kruskal_wallis_statistic,kruskal_wallis_p_value,cluster_mean_range,cluster_median_range,kruskal_wallis_p_value_bh
eccentricity_iqr,0.7734843352666646,1064.2897016481163,7.805985026560794e-232,4.2367321415315145,4.368044660336663,1.7173167058433747e-230
mean_pixel_intensity,0.5991231232882103,805.1405422169336,1.4653881636420066e-175,3.9115678434774956,4.438211456080396,2.1492359733416095e-174
aspect_ratio_iqr,0.5413544021923514,1095.5039253952705,1.3012032781570483e-238,1.1487951090691249,1.3120901395288023,5.725294423891012e-237
roi_v_std,0.47934611680787403,764.6929936985267,8.892548516738845e-167,1.8690393247394432,1.928266087124846,9.78180336841273e-166
roi_s_std,0.40341112197245,619.3507245712365,3.2336944254435624e-135,2.2236257744704493,2.2009221192239488,2.3713759119919455e-134
area_median,0.32782067568581913,518.1210593469378,3.100569594760459e-113,1.9749159612639187,2.2533357982860136,1.7053132771182525e-112
eccentricity_p90,0.25763073029691275,736.1983915605415,1.3694635567964794e-160,1.3636980735568687,0.0,1.205127929980902e-159
solidity_iqr,0.19180461576057062,576.9647097023509,5.172555529344783e-126,1.064191438934412,0.9678462220757481,3.251320618445292e-125
feret_p90,0.16575034339651756,421.085009818077,3.65217779713078e-92,0.7623453538414481,0.8985994266416248,1.785509145263937e-91
circularity_median,0.15471817455625292,404.47347552334,1.4780895684496815e-88,0.5053733928078322,1.0,6.503594101178598e-88
circularity_iqr,0.1486963543451885,360.8118967852776,4.4739601405190494e-79,0.9457830849059388,1.6619629456463183,1.6404520515236515e-78
area_iqr,0.13776900172198658,371.2659097915913,2.402326485366648e-81,0.7589342110327297,1.0664866160160762,9.609305941466592e-81
mean_intensity_p90,0.11913886402313034,359.8392076902504,7.276270968731709e-79,0.9133355849853336,0.0,2.462737866339963e-78
roi_lab_b_std,0.11343104304517905,206.7050410508646,1.3018790700147675e-45,1.0051920307572009,0.7951583622908038,3.1823710600360986e-45
mean_intensity_median,0.11293996078302533,238.99688645302186,1.2661510243964739e-52,0.34587002539469874,0.8155439548007779,3.481915317090303e-52
roi_lab_a_std,0.10845197827078763,300.87890951780264,4.6235433902260207e-66,1.1758634678415347,0.8351226026882056,1.4531136369281779e-65
solidity_median,0.09894668171292825,284.7597093003428,1.4629005097585738e-62,0.8461648822930089,0.0,4.291174828625149e-62
aspect_ratio_p90,0.08356637745616427,222.63015972449696,4.533932636026054e-49,0.5366483168985366,1.01070975984776,1.1734884469714493e-48
roi_v_mean,0.07291007174122979,180.41920886747917,6.644565390393162e-40,0.6320848535904011,0.7096348358231951,1.392194653225234e-39
circularity_p90,0.06670768639156209,154.0027182132622,3.620217312692666e-34,0.7092862381720887,0.0,7.240434625385332e-34
roi_lab_l_mean,0.056874133013054835,138.28352812697287,9.378068447098184e-31,0.5889628058837777,0.6372883921284928,1.719312548634667e-30
particle_mask_mean_rgb_contrast,0.052774230480892574,108.1802988070588,3.2280970929859e-24,0.485437126799379,0.45623002649519284,5.0727240032635576e-24
orientation_entropy,0.04959558288340737,206.33334325340928,1.5677752215164967e-45,0.40913493052427763,0.8856578265556316,3.6306373550908346e-45
feret_iqr,0.04770663885237951,204.19699109109598,4.5623308268932425e-45,0.4161102229736632,0.2976778404175887,1.0037127819165134e-44
num_particles,0.04697727330907868,112.60516828393031,3.5326319318342293e-25,0.507292489002994,0.6443756093558402,5.756881666692818e-25
