selected_cluster_label,alternative_cluster_label,overlap_count,fraction_within_selected_cluster
1,1,2,0.0011280315848843769
1,2,423,0.23857868020304568
1,3,1345,0.7586012408347433
1,4,3,0.001692047377326565
2,1,7,0.01907356948228883
2,2,5,0.013623978201634877
2,3,6,0.01634877384196185
2,4,349,0.9509536784741145
3,1,342,0.7808219178082192
3,2,72,0.1643835616438356
3,3,24,0.0547945205479452
3,4,0,0.0
