cluster_a,cluster_b,rank,feature,standardized_median_delta,higher_cluster
1,2,1,mean_pixel_intensity,2.5568630169916062,1
1,2,2,roi_v_std,-2.014345584930566,2
1,2,3,roi_s_std,-1.8205630942564417,2
1,2,4,mean_intensity_median,1.797734349925686,1
1,2,5,roi_h_mean,1.4520314216470127,1
1,2,6,aspect_ratio_p90,-0.9735123355758724,2
1,2,7,roi_h_std,-0.9406063244941264,2
1,2,8,roi_v_mean,0.837283805078097,1
1,3,1,eccentricity_iqr,2.3793885283859066,1
1,3,2,aspect_ratio_iqr,2.250251278870574,1
1,3,3,circularity_median,-2.098366424635155,3
1,3,4,circularity_iqr,2.095848662131403,1
1,3,5,area_median,-1.7691421699964127,3
1,3,6,area_iqr,-1.3750947103194175,3
1,3,7,mean_intensity_median,1.2845473175172262,1
1,3,8,orientation_entropy,-1.1561471070675677,3
2,3,1,mean_pixel_intensity,-2.5421664161936812,3
2,3,2,eccentricity_iqr,2.433337417485021,2
2,3,3,aspect_ratio_iqr,2.250251278870574,2
2,3,4,circularity_median,-2.098366424635155,3
2,3,5,circularity_iqr,2.095848662131403,2
2,3,6,roi_v_std,2.0614415227247203,2
2,3,7,aspect_ratio_p90,1.8403970699766394,2
2,3,8,roi_s_std,1.7876635200299187,2
