image_id,cluster_label,silhouette_value
6926dff2d9ad5d97847a2901,3,0.09806276897508627
6926e00dd9ad5d97847a2903,3,0.056873873627096345
69280f25d9ad5d97847a290d,3,-0.01630449659452117
6928936dd9ad5d97847a291d,3,0.1015968329988371
69295f14d9ad5d97847a2923,3,-0.04002819041488277
692eb509d9ad5d97847a2932,1,0.17312882240500824
692f0f81d9ad5d97847a2936,2,-0.03191663087690079
692f5d0bd9ad5d97847a293b,1,0.14373077933766287
692f5d74d9ad5d97847a293d,1,0.14373077933766287
69342ed5d9ad5d97847a2949,1,0.16311126825875927
69343043d9ad5d97847a294d,3,0.1194554568581821
6934308ad9ad5d97847a2950,3,0.1170095640809477
693430d1d9ad5d97847a2953,3,-0.03965268353072203
6934314bd9ad5d97847a2956,3,0.07047110304097073
69343615d9ad5d97847a295a,3,0.035290392489525
69343692d9ad5d97847a295d,3,-0.0199031025395371
69343728d9ad5d97847a2960,3,0.07244799861673894
693437b2d9ad5d97847a2963,3,0.003926409642960383
69343822d9ad5d97847a2966,1,0.0904612442698721
693438d0d9ad5d97847a2969,3,0.003374570941049356
6934393cd9ad5d97847a296c,3,-0.03526131466609889
69343995d9ad5d97847a296f,1,0.09600745637206863
693439ebd9ad5d97847a2972,3,0.07437059665687064
69343ab2d9ad5d97847a2975,3,0.03444904824264125
69343b12d9ad5d97847a2978,3,0.009312853700598036
69343b6cd9ad5d97847a297b,3,0.09650997172607499
69343cafd9ad5d97847a297e,3,0.043132039604836865
69343d36d9ad5d97847a2981,3,0.06951236069526975
69343daad9ad5d97847a2984,3,0.054322688256936445
69343e0ad9ad5d97847a2987,3,0.07167544049574824
69343e61d9ad5d97847a298a,1,0.14468648374670096
69343ed5d9ad5d97847a298d,3,0.045662812721401214
69343fd4d9ad5d97847a2990,3,0.057022253707470424
6934400bd9ad5d97847a2993,3,0.072237325349246
69344040d9ad5d97847a2996,3,0.07047840484574937
6934407cd9ad5d97847a2999,3,0.06290873328405637
693440d3d9ad5d97847a299c,3,-0.07302124713785188
69344117d9ad5d97847a299f,3,0.050678460585230185
69344177d9ad5d97847a29a2,3,0.06990289672485935
693441b2d9ad5d97847a29a5,1,0.14820360990242998
693441efd9ad5d97847a29a8,3,0.10788418745318407
69347aedd9ad5d97847a29ab,1,0.12902191098711635
6934833fd9ad5d97847a29af,1,0.125260636558716
69349601d9ad5d97847a29b2,3,0.023357111730886445
69384715d9ad5d97847a29bf,1,0.13560442184863628
6947d9cbd9ad5d97847a29f4,1,0.20473829782361505
69720450d9ad5d97847a2a53,1,0.2465318533864669
69720603d9ad5d97847a2a56,1,0.3303977591446992
697206f0d9ad5d97847a2a59,1,0.3192073517358673
6972071bd9ad5d97847a2a5b,1,0.3192073517358673
6972074fd9ad5d97847a2a5d,1,0.3016885040013371
69720794d9ad5d97847a2a60,1,0.3578109199046066
697207b3d9ad5d97847a2a62,3,-0.0910970815282747
697207d6d9ad5d97847a2a64,3,-0.07412315708494749
6972080dd9ad5d97847a2a67,1,0.18461288763910835
6972080fd9ad5d97847a2a69,3,-0.0910970815282747
69720871d9ad5d97847a2a6b,1,0.2830982897410607
69721145d9ad5d97847a2a72,3,0.027462847032594176
697213b7d9ad5d97847a2a75,3,-0.06250843314214134
697213eed9ad5d97847a2a77,3,-0.06250843314214134
6972141dd9ad5d97847a2a79,3,-0.10462123344378595
6972146cd9ad5d97847a2a7b,1,0.3526937924183581
697214a1d9ad5d97847a2a7d,2,0.12679924859588138
69721502d9ad5d97847a2a80,3,0.10290637315803555
69721bbed9ad5d97847a2a88,1,0.1548600362540965
69721c26d9ad5d97847a2a8a,3,0.054218780303444535
69721c4ed9ad5d97847a2a8c,1,0.1548600362540965
69721c86d9ad5d97847a2a90,1,0.34277110769885316
69721c88d9ad5d97847a2a92,1,0.27605167344185727
69721ce2d9ad5d97847a2a94,1,0.22882748911869316
69721da9d9ad5d97847a2a98,1,0.3541153331439872
69721dd6d9ad5d97847a2a9a,1,0.34380000692715484
69721dd9d9ad5d97847a2a9c,1,0.32178766966252154
69721e79d9ad5d97847a2aa0,1,0.34129937663829185
69721e96d9ad5d97847a2aa2,1,0.2694548266353246
697249bfd9ad5d97847a2aaa,1,0.3502942250255982
69724a8dd9ad5d97847a2aad,1,0.3490717424901516
69724ad0d9ad5d97847a2ab0,1,0.33709106755531604
69724b2dd9ad5d97847a2ab3,1,0.3502942250255982
6972fd7dd9ad5d97847a2ab7,1,0.33710269880970484
6972fe02d9ad5d97847a2aba,1,0.3159124207360104
6972fea8d9ad5d97847a2abd,3,-0.10684680337935025
69732388d9ad5d97847a2ac1,1,0.33710269880970484
69733c21d9ad5d97847a2ac3,1,0.3502942250255982
69733dd9d9ad5d97847a2ac8,1,0.34326822051755795
6973407bd9ad5d97847a2acb,1,0.3356824224225519
6973427ed9ad5d97847a2acd,1,0.18047450523768208
697342b2d9ad5d97847a2acf,1,0.3356824224225519
6973447ad9ad5d97847a2ad2,1,0.29114972657565824
6973467bd9ad5d97847a2ad5,3,0.045028290954076795
69765e3fd9ad5d97847a2ae2,1,0.31136507687965187
69765ef0d9ad5d97847a2ae5,1,0.2849776044353455
69772bd9d9ad5d97847a2aea,1,0.31683692395286955
69772c8bd9ad5d97847a2aed,1,0.31683692395286955
69772d68d9ad5d97847a2af0,1,0.3224018184307212
69772e2fd9ad5d97847a2af3,1,0.3426136507564988
6977b8a0d9ad5d97847a2b00,1,0.3798503876665866
697c6e89d9ad5d97847a2b1c,1,0.2511393670761684
698095fdd9ad5d97847a2b2b,1,0.3336301587304066
6980c91ad9ad5d97847a2b31,1,0.35010737167115213
6980c9efd9ad5d97847a2b34,1,0.21771378409632966
6984c164d9ad5d97847a2b44,1,0.3247468425542207
6984c21ed9ad5d97847a2b47,1,0.27976813507960147
6985abebd9ad5d97847a2b50,1,0.2835164565231359
6985ac55d9ad5d97847a2b53,1,0.375384628497504
69884ef8d9ad5d97847a2b5e,3,0.07771554619279193
69885026d9ad5d97847a2b60,1,0.3798503876665866
698850e1d9ad5d97847a2b63,3,0.18045051769929174
69885174d9ad5d97847a2b65,3,0.07258967914859624
69885275d9ad5d97847a2b67,3,-0.052506329571248636
69885474d9ad5d97847a2b69,3,0.10135578562697403
69885612d9ad5d97847a2b6b,3,-0.07955271293392187
69885728d9ad5d97847a2b6d,1,0.387887701183157
698857f0d9ad5d97847a2b6f,3,0.12398778069967241
698858aad9ad5d97847a2b71,3,-0.03135770234410246
69885956d9ad5d97847a2b73,3,-0.000382775143214274
69885a2cd9ad5d97847a2b75,1,0.2886531612713242
69885b91d9ad5d97847a2b77,3,-0.14110218019756876
69885c70d9ad5d97847a2b79,3,-0.06333563328254896
6989c8a2d9ad5d97847a2b82,3,0.04595133637309297
6989c97fd9ad5d97847a2b86,1,0.3133887501257521
6989c9d9d9ad5d97847a2b88,1,0.1603258755775387
6989c9dcd9ad5d97847a2b8a,1,0.24399590617589983
6989ca90d9ad5d97847a2b90,1,0.10136865852489084
6989caadd9ad5d97847a2b92,3,0.14564442787102008
6989caf0d9ad5d97847a2b95,1,0.3566268417046383
6989cbb2d9ad5d97847a2b98,1,0.3531181941970234
