cluster_label,count,fraction,morphology_summary,top_positive_signature,top_negative_signature
1,1773,0.6877424359968968,"heterogeneous circularity, less circular particles",aspect_ratio_iqr (z=+0.65); mean_intensity_median (z=+0.64); roi_h_mean (z=+0.62); circularity_iqr (z=+0.60),circularity_median (z=-0.83); transit (z=-0.61); parking (z=-0.60); gas_station (z=-0.58)
2,367,0.14235841737781227,"very elongated tail cases, heterogeneous circularity, less circular particles, darker overall deposits",roi_v_std (z=+1.62); roi_s_std (z=+1.40); aspect_ratio_p90 (z=+0.99); aspect_ratio_iqr (z=+0.65),mean_pixel_intensity (z=-2.04); mean_intensity_median (z=-1.16); circularity_median (z=-0.83); roi_h_mean (z=-0.83)
3,438,0.16989914662529093,"larger particle bodies, round compact particles, high orientation dispersion, broad directional spread",area_median (z=+1.42); circularity_median (z=+1.27); area_iqr (z=+1.12); orientation_entropy (z=+1.03),eccentricity_iqr (z=-1.94); aspect_ratio_iqr (z=-1.60); circularity_iqr (z=-1.49); aspect_ratio_p90 (z=-0.85)
