cluster_label,category,score
3,mixed_unknown,3.997586981562411
3,mechanical_non_combustion_particulate,3.1519131740598447
3,biological,1.7361130057620988
3,industrial,0.8370629370393294
3,fibrous_synthetic_materials,-0.3304567892469549
3,combustion_related,-3.5917461521932923
2,combustion_related,3.4974944894490494
2,industrial,-1.1465800093910734
2,mechanical_non_combustion_particulate,-2.016405079600016
2,fibrous_synthetic_materials,-2.83188011601804
2,biological,-2.963500183495833
2,mixed_unknown,-4.697745892641971
1,fibrous_synthetic_materials,2.114616044637086
1,biological,1.313152827294081
1,mixed_unknown,0.9946034585672499
1,industrial,0.8242957607856112
1,mechanical_non_combustion_particulate,0.6623373040768737
1,combustion_related,-1.076760897844071
