cluster_label,count,fraction,num_particles,area_percentage,mean_pixel_intensity,orientation_entropy,circular_variance,area_median,area_iqr,solidity_median,solidity_iqr,aspect_ratio_median,aspect_ratio_iqr,aspect_ratio_p90,feret_iqr,feret_p90,eccentricity_iqr,eccentricity_p90,circularity_median,circularity_iqr,circularity_p90,mean_intensity_median,mean_intensity_iqr,mean_intensity_p90,roi_s_mean,roi_s_std,roi_v_mean,roi_v_std,roi_lab_l_mean,roi_lab_b_mean,roi_lab_b_std,particle_mask_mean_rgb_contrast,total,transit,park,gas_station,parking,industrial,place_diversity_entropy,green_vs_traffic_ratio_500m,capture_month_sin,season_winter,season_summer,season_autumn,roi_h_mean,roi_h_std,roi_lab_a_mean,roi_lab_a_std
1,446,0.21525096525096524,0.38464101448977944,0.04757980182328478,-0.3347007689510756,-0.9898577127680346,-0.9356992262546,-1.40942083965321,-1.0814269393474247,0.0,0.0,-2.2122666348682363,0.0,-0.5582768618434946,-1.0139551350695715,-0.8303025584816642,-0.14417340969478804,0.0,0.0,-1.7478534115599347,0.0,0.3453236651910652,-0.08788787647337803,0.0,0.19204826407038433,-0.05566071975624271,-0.23811513737496626,0.009676917986392223,-0.20235197999276947,0.12167292183917379,-0.12118558434827675,-0.4832966345903583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.36804697092160976,-0.08402861213054019,0.03182044925814971,0.021581162788282197
2,157,0.07577220077220077,0.924734513370369,4.125153820818099,-6.71748623025446,0.6173565181344838,0.2408960156111779,1.0,0.21518000377179783,0.0,0.0,0.37901044303667325,0.0,0.6034240388071404,0.45978855102980754,0.9077794877318911,0.14605159287790562,0.0,0.22320229605219635,0.0,0.0,-0.6906473303821304,-1.2040050780797336,-0.20276436369517153,0.03442984218939035,1.1515976942804185,-0.5069212774007844,1.5787128243658028,-0.4872459725486932,0.2756510234895365,0.5064412885713541,-0.057991915866957185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.688921588885989,0.47397572479492717,-0.1316020651743823,0.6665386306073982
3,271,0.13079150579150578,-0.6760269501767187,-0.1355045358268707,0.2643403988849772,0.8491106235387788,0.6798363732994928,3.4094208396532095,0.9305551178943804,0.0,1.4997883100684295,0.027387505446745168,-1.2936222064224847,-0.37881762635931676,0.6164588398689888,0.9077794877318911,-3.997847007812128,-0.13886444174601797,1.0,-1.1658854987616407,0.0,-0.42625889922022114,0.1539673330936709,0.0,-0.025029216754645006,-0.17813450009537607,0.20340261291464173,-0.2935403813082962,0.293646669968092,-0.09613126341161345,-0.0696551082824504,0.26558179050495107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043070856642240134,-0.013771414599491775,0.07895812241079961,0.04997314674392021
4,1198,0.5781853281853282,-0.1025783239677892,-0.06034105041395598,0.11713373823344381,0.09930806917353446,0.10863448633329331,0.0,0.0,0.0,0.0,0.2308128234248614,0.0,0.05282839436727728,0.10056802514241814,0.0,0.07529981240980418,0.0,0.0,0.0,0.0,0.0863309162977663,0.00916579323152245,0.0,-0.029598829307990727,-0.0037177124623880018,0.08127311703811643,-0.018288472566959785,0.10852624749450743,-0.0657751853043609,0.021299617470331503,0.15310806960552714,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040219111091513216,-0.0019611332538312536,-0.00033255786233172397,-0.07492042134109125
