cluster_label,count,fraction,morphology_summary,top_positive_signature,top_negative_signature
1,446,0.21525096525096524,"smaller particle bodies, shorter upper-tail particle extent, more compact non-elongated shapes, less circular particles, more aligned orientations",mean_intensity_median (z=+0.99); aspect_ratio_iqr (z=+0.67); num_particles (z=+0.51); roi_lab_b_mean (z=+0.35),aspect_ratio_median (z=-1.76); circularity_iqr (z=-1.76); area_iqr (z=-1.29); orientation_entropy (z=-1.24)
2,157,0.07577220077220077,"long upper-tail particle extent, elongated particle shapes, very elongated tail cases, heterogeneous circularity, high orientation dispersion, higher particle counts, darker overall deposits",area_percentage (z=+2.29); roi_v_std (z=+1.45); num_particles (z=+1.24); aspect_ratio_p90 (z=+1.05),mean_pixel_intensity (z=-2.91); mean_intensity_median (z=-1.31); mean_intensity_iqr (z=-0.83); roi_h_mean (z=-0.81)
3,271,0.13079150579150578,"larger particle bodies, long upper-tail particle extent, round compact particles, heterogeneous solidity, high orientation dispersion, broad directional spread, lower particle counts",area_median (z=+1.74); area_iqr (z=+1.30); circularity_median (z=+1.26); orientation_entropy (z=+1.18),eccentricity_iqr (z=-1.82); aspect_ratio_iqr (z=-1.56); circularity_iqr (z=-0.97); num_particles (z=-0.92)
4,1198,0.5781853281853282,"heterogeneous circularity, less circular particles",aspect_ratio_iqr (z=+0.67); aspect_ratio_median (z=+0.66); roi_h_mean (z=+0.61); circularity_iqr (z=+0.61),circularity_median (z=-0.83); gas_station (z=-0.61); parking (z=-0.58); transit (z=-0.57)
