cluster_label,category,score
4,fibrous_synthetic_materials,2.144618710135843
4,biological,1.2720095561731175
4,mixed_unknown,0.9246879343132706
4,industrial,0.7690672054946623
4,mechanical_non_combustion_particulate,0.6794422922151983
4,combustion_related,-1.0899209539871686
3,mixed_unknown,3.1716414267915867
3,mechanical_non_combustion_particulate,2.767336019925411
3,biological,1.155904537382512
3,industrial,0.4515285361020921
3,fibrous_synthetic_materials,-1.5942803979675038
3,combustion_related,-3.2676452810024914
2,fibrous_synthetic_materials,3.9146442465903233
2,mechanical_non_combustion_particulate,1.2970392345539514
2,mixed_unknown,1.166775235160965
2,biological,0.9406023780150139
2,industrial,0.7196954396494917
2,combustion_related,-1.389982113354717
1,combustion_related,3.5575035972953706
1,industrial,-1.2109525191815358
1,mechanical_non_combustion_particulate,-2.083906878654398
1,fibrous_synthetic_materials,-2.9105654492036686
1,biological,-2.998468983937221
1,mixed_unknown,-4.772137959783698
