variable,cluster_label,count,mean,median,std,iqr
latitude,1,446,41.09198755078074,42.326913993920854,5.724070547008657,3.34710783890052
latitude,2,157,41.39374855961656,42.68209454509015,2.697625496939192,5.219941337399398
latitude,3,271,42.09480306924408,42.68640877509129,4.350173107988417,1.673851893430836
latitude,4,1198,41.66367108588333,42.68915551584127,2.3541494083121863,3.369764594781195
longitude,1,446,-2.9210831949349494,-2.9366666409114828,5.464120388812892,2.828799847847463
longitude,2,157,-2.6101552715775,-2.946097817582709,1.9750010554873791,2.504722201754558
longitude,3,271,-3.315314001552754,-3.1884827073656608,5.224016362243849,1.3407989208057072
longitude,4,1198,-3.648666429032511,-2.9739258,6.337284903028558,4.174770118316273
official_station_distance_km,1,446,47.78054448594577,1.9712110223078652,665.4969686520541,4.2058657006400155
official_station_distance_km,2,157,16.791754269933858,2.162747344945254,161.47793406974102,3.9075088465145624
official_station_distance_km,3,271,67.92190836106494,4.368016467456429,527.3857878269151,8.22306741721818
official_station_distance_km,4,1198,33.85351647607796,3.3292990602159245,423.4037505782023,6.199175618359524
record_pm10,1,446,25.832898817835254,15.81513277916837,26.80735792522708,15.910837667140548
record_pm10,2,157,123.50106828674288,100.04419677077597,100.40636956336384,129.17291203655031
record_pm10,3,271,20.082247474873178,12.996657021405436,19.105408033103295,13.306457664053834
record_pm10,4,1198,19.61166884957043,14.129467470198614,16.35475074769061,11.555750606828017
record_pm25,1,446,25.832898817835254,15.81513277916837,26.80735792522708,15.910837667140548
record_pm25,2,157,123.50106828674288,100.04419677077597,100.40636956336384,129.17291203655031
record_pm25,3,271,20.082247474873178,12.996657021405436,19.105408033103295,13.306457664053834
record_pm25,4,1198,19.61166884957043,14.129467470198614,16.35475074769061,11.555750606828017
official_pm10,1,446,19.276457399103144,17.4,6.913855394683111,6.9
official_pm10,2,157,19.553503184713374,18.3,5.457146645559047,6.400000000000002
official_pm10,3,271,17.271217712177123,16.9,6.575167276688788,8.3
official_pm10,4,1198,17.28330550918197,16.6,6.838343610166442,8.9
official_pm25,1,446,10.423766816143498,10.1,3.3283764581204727,3.8499999999999996
official_pm25,2,157,10.936942675159235,11.5,2.951913696980464,4.4
official_pm25,3,271,10.486346863468635,8.7,3.572382526115599,4.800000000000001
official_pm25,4,1198,9.81118530884808,8.7,3.752309263026373,3.6000000000000005
official_pm25_to_pm10_ratio,1,446,0.5621273936723435,0.5627705627705627,0.1205219501082892,0.1596550134966095
official_pm25_to_pm10_ratio,2,157,0.5692440520471052,0.5627705627705627,0.09891788936005194,0.11022473837708008
official_pm25_to_pm10_ratio,3,271,0.6272798606251574,0.595959595959596,0.11486645234981421,0.19086176980913827
official_pm25_to_pm10_ratio,4,1198,0.5821987981993023,0.5948275862068966,0.12635377591175523,0.17541494649928385
