variable,cluster_label,category,count,fraction_within_cluster
official_station_id,2,STA_ES0110A,3,0.01910828025477707
official_station_id,2,STA_ES0120A,0,0.0
official_station_id,2,STA_ES0333A,3,0.01910828025477707
official_station_id,2,STA_ES0587A,0,0.0
official_station_id,2,STA_ES0805A,2,0.012738853503184714
official_station_id,2,STA_ES0824A,0,0.0
official_station_id,2,STA_ES0825A,0,0.0
official_station_id,2,STA_ES0905A,4,0.025477707006369428
official_station_id,2,STA_ES1037A,2,0.012738853503184714
official_station_id,2,STA_ES1038A,0,0.0
official_station_id,2,STA_ES1044A,0,0.0
official_station_id,2,STA_ES1090A,0,0.0
official_station_id,2,STA_ES1137A,0,0.0
official_station_id,2,STA_ES1160A,0,0.0
official_station_id,2,STA_ES1163A,0,0.0
official_station_id,2,STA_ES1174A,0,0.0
official_station_id,2,STA_ES1175A,0,0.0
official_station_id,2,STA_ES1244A,6,0.03821656050955414
official_station_id,2,STA_ES1258A,1,0.006369426751592357
official_station_id,2,STA_ES1268A,2,0.012738853503184714
official_station_id,2,STA_ES1269A,0,0.0
official_station_id,2,STA_ES1271A,4,0.025477707006369428
official_station_id,2,STA_ES1346A,9,0.05732484076433121
official_station_id,2,STA_ES1353A,7,0.044585987261146494
official_station_id,2,STA_ES1358A,2,0.012738853503184714
official_station_id,2,STA_ES1363A,0,0.0
official_station_id,2,STA_ES1378A,1,0.006369426751592357
official_station_id,2,STA_ES1387A,3,0.01910828025477707
official_station_id,2,STA_ES1417A,0,0.0
official_station_id,2,STA_ES1442A,0,0.0
official_station_id,2,STA_ES1443A,0,0.0
official_station_id,2,STA_ES1490A,0,0.0
official_station_id,2,STA_ES1492A,0,0.0
official_station_id,2,STA_ES1494A,0,0.0
official_station_id,2,STA_ES1496A,0,0.0
official_station_id,2,STA_ES1529A,0,0.0
official_station_id,2,STA_ES1532A,0,0.0
official_station_id,2,STA_ES1564A,0,0.0
official_station_id,2,STA_ES1569A,3,0.01910828025477707
official_station_id,2,STA_ES1572A,1,0.006369426751592357
official_station_id,2,STA_ES1577A,1,0.006369426751592357
official_station_id,2,STA_ES1578A,2,0.012738853503184714
official_station_id,2,STA_ES1580A,3,0.01910828025477707
official_station_id,2,STA_ES1593A,0,0.0
official_station_id,2,STA_ES1594A,0,0.0
official_station_id,2,STA_ES1598A,4,0.025477707006369428
official_station_id,2,STA_ES1601A,0,0.0
official_station_id,2,STA_ES1611A,2,0.012738853503184714
official_station_id,2,STA_ES1613A,2,0.012738853503184714
official_station_id,2,STA_ES1621A,10,0.06369426751592357
official_station_id,2,STA_ES1624A,0,0.0
official_station_id,2,STA_ES1627A,0,0.0
official_station_id,2,STA_ES1633A,31,0.19745222929936307
official_station_id,2,STA_ES1641A,1,0.006369426751592357
official_station_id,2,STA_ES1662A,0,0.0
official_station_id,2,STA_ES1673A,1,0.006369426751592357
official_station_id,2,STA_ES1687A,0,0.0
official_station_id,2,STA_ES1709A,0,0.0
official_station_id,2,STA_ES1712A,1,0.006369426751592357
official_station_id,2,STA_ES1713A,0,0.0
official_station_id,2,STA_ES1741A,0,0.0
official_station_id,2,STA_ES1747A,0,0.0
official_station_id,2,STA_ES1797A,0,0.0
official_station_id,2,STA_ES1818A,3,0.01910828025477707
official_station_id,2,STA_ES1831A,0,0.0
official_station_id,2,STA_ES1834A,0,0.0
official_station_id,2,STA_ES1836A,2,0.012738853503184714
official_station_id,2,STA_ES1837A,0,0.0
official_station_id,2,STA_ES1868A,0,0.0
official_station_id,2,STA_ES1882A,1,0.006369426751592357
official_station_id,2,STA_ES1894A,2,0.012738853503184714
official_station_id,2,STA_ES1918A,0,0.0
official_station_id,2,STA_ES1941A,1,0.006369426751592357
official_station_id,2,STA_ES1963A,1,0.006369426751592357
official_station_id,2,STA_ES1976A,0,0.0
official_station_id,2,STA_ES1985A,2,0.012738853503184714
official_station_id,2,STA_ES2005A,0,0.0
official_station_id,2,STA_ES2006A,0,0.0
official_station_id,2,STA_ES2015A,0,0.0
official_station_id,2,STA_ES2019A,0,0.0
official_station_id,2,STA_ES2024A,0,0.0
official_station_id,2,STA_ES2051A,1,0.006369426751592357
official_station_id,2,STA_ES2054A,0,0.0
official_station_id,2,STA_ES2058A,7,0.044585987261146494
official_station_id,2,STA_ES2063A,0,0.0
official_station_id,2,STA_ES2075A,1,0.006369426751592357
official_station_id,2,STA_ES2103A,4,0.025477707006369428
official_station_id,2,STA_ES2109A,0,0.0
