component,explained_variance_ratio,cumulative_variance_ratio
PC1,0.16027438605008223,0.16027438605008223
PC2,0.12645368708431862,0.28672807313440085
PC3,0.09911172789324317,0.38583980102764404
PC4,0.07301171381813687,0.4588515148457809
PC5,0.06079392370524347,0.5196454385510244
PC6,0.05000163235709055,0.569647070908115
PC7,0.04390137178164049,0.6135484426897554
PC8,0.03627658858922438,0.6498250312789797
PC9,0.03415168407821447,0.6839767153571942
PC10,0.02958103378332386,0.7135577491405181
PC11,0.02566140284659964,0.7392191519871177
PC12,0.02316037435641372,0.7623795263435315
PC13,0.022276001509777592,0.784655527853309
PC14,0.019954283933378163,0.8046098117866872
PC15,0.01794446738133024,0.8225542791680175
PC16,0.017469464822133997,0.8400237439901515
PC17,0.01599565251099322,0.8560193965011447
PC18,0.01501769166952532,0.8710370881706699
PC19,0.014248667133998812,0.8852857553046688
PC20,0.013012010442998033,0.8982977657476668
PC21,0.011138086957871019,0.9094358527055378
PC22,0.009383282151568546,0.9188191348571064
PC23,0.008986257956510214,0.9278053928136166
PC24,0.00892633417190399,0.9367317269855207
PC25,0.006893924340685972,0.9436256513262066
PC26,0.006574635333722354,0.950200286659929
PC27,0.006469497112626227,0.9566697837725552
PC28,0.00587244187094062,0.9625422256434958
PC29,0.005286837640224146,0.96782906328372
PC30,0.004935717435216875,0.9727647807189369
PC31,0.004637327261526348,0.9774021079804632
PC32,0.004333909480448978,0.9817360174609122
PC33,0.0037711894722051555,0.9855072069331173
PC34,0.0035742662204693225,0.9890814731535866
PC35,0.002305613934004646,0.9913870870875913
PC36,0.0019486506260735486,0.9933357377136648
PC37,0.0017489533276134463,0.9950846910412783
PC38,0.0012585255770766978,0.996343216618355
PC39,0.0011240197567736554,0.9974672363751287
PC40,0.0010412832428406164,0.9985085196179693
PC41,0.0009396673325041034,0.9994481869504733
PC42,0.00037308664785981827,0.9998212735983332
PC43,0.0001288451865241667,0.9999501187848573
PC44,4.98812151428542e-05,1.0000000000000002
PC45,6.3233268048670676e-18,1.0000000000000002
PC46,1.5293125464234332e-19,1.0000000000000002
