feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22
num_particles,0.023137227383912863,-0.5287613807201283,-0.012376688961681575,0.2922480849727709,0.1770183354940265,-0.15761635483573114,-0.140049326182054,0.054872872216146756,0.01387573876178246,0.0578728949690164,-0.06016151071414647,0.07258218243020934,0.0013697104517117857,0.0519235391876968,-0.09883690748444775,0.25391867721311057,0.039994649798470915,0.02997500866014488,-0.01727185616136866,-0.06717193243400646,-0.044981617498435544,-0.0004366366499818353
area_percentage,0.8138291506826063,-1.0819183006570479,0.03230990675903149,0.4953782372495482,0.2872253418043936,-0.3233525438127779,-0.2861742403126101,0.06700745548176328,-0.15135561059108255,0.07643068668229147,0.09036117002198682,-0.061569715667515235,0.0071677686354651386,-0.04695152524418065,0.04117113944386932,-0.1208057997726936,-0.0029754760420587756,-0.017452388387904135,0.0056026935892560924,0.01885532171031129,0.013098155946599492,0.00048067957217659785
mean_pixel_intensity,-1.122514307144526,1.5912987228493038,-0.06729395007474903,0.12823260569909883,0.40572153441824416,-0.3061700453802672,-0.1606912080964863,0.1316098132902455,-0.19325667655261664,-0.010149400452392874,0.028829280680191673,-0.010765407664779835,0.02843744765618075,-0.0003226451706694882,0.013171866472046562,-0.007726921446797041,-0.013037770913544574,0.002425628042177646,8.191061097160608e-05,0.0014618488636804333,0.0002254507478490831,-5.251158948813548e-06
orientation_entropy,0.5209016058135384,0.24760114657532284,0.34812401374835805,0.1542721728299666,0.1091970201589908,0.06917633959110088,-0.049249945137934216,0.01938871600353199,0.057982804836479995,-0.026378652861040196,-0.03414759468524694,0.05137988022213316,-0.0018452172721891648,0.1983540845361037,-0.021459005641508554,0.08243823015951235,0.03592776650460131,0.05338923026323586,0.0037453881111592694,0.11480400550472626,0.09796166902828779,0.002266695444876044
circular_variance,0.39748764935757724,0.3082665315652167,0.31143216199122287,0.1581506192478201,0.08371520732851291,0.06776546803034582,-0.07205150637547982,-0.11906567184428184,0.08107554816954513,-0.07621247153145388,-0.046022878241068176,0.10654582141040508,-0.03837894958618839,0.30312293901256837,0.004067412639488751,-0.11824796894077551,-0.03072587391139332,-0.08423078377688815,-0.018577349819300055,-0.05494968744392676,-0.05257929796263858,-0.003023100276527531
area_median,1.2813194953695808,0.933103342812117,0.09481419259174567,0.1014587441912143,-0.06533341097241381,0.009087710884398208,-0.19879247135997913,-0.14613079651766966,0.07432323062600342,0.03288138336745732,-0.24909714918750298,-0.040520607994125823,0.03088196281545247,-0.16707715705949522,0.007673243650834459,0.028682806553703068,0.018256488892589032,-0.06070529653323586,-0.0855064576554388,0.017082082727524386,-0.01422354803844305,-0.010563179703010935
area_iqr,0.5935529429553554,0.3629882629596155,0.24930230515238952,-0.03060832209805549,-0.048657811795639654,0.031986371047061125,0.013338763485894432,0.08360849728948497,-0.06144625632148474,0.03888040682010255,-0.0017793282415014646,-0.15597265774719624,-0.04409999260983485,0.020315112459601364,-0.022867920846632285,0.01271557973824074,0.0017406466914919767,-0.009134025712738426,0.02711439152373738,-0.0655829394582319,0.04386174944720876,0.0966084450767316
solidity_median,-0.39233816936669264,-0.18770370061985847,0.1583772050004281,0.44819451230359886,-0.05329171380643251,0.5880262599434319,-0.08254402711595905,0.2293148210193949,-0.2952289671156511,-0.2831156879990087,-0.07908069447161999,0.000885831639380394,0.01578140743429419,-0.0510791501705862,-0.010544330726222531,0.0028770033106544158,-0.0015641832122139572,-0.021676779130307928,-0.01769541762955615,0.0005141872607619438,-0.0032778065949491957,0.00017992146016865013
solidity_iqr,0.7340046825132224,0.020225375774585025,-0.00046663530825867035,-0.33659580848027376,0.12407544278481006,-0.03938111132366377,0.16058562823104452,0.3513679597174032,-0.21989849653766083,0.11626102626887475,-0.10044815266161926,0.27012219198295107,-0.18085318162985903,-0.046673168887225044,0.035418391879572415,-0.008063518647705558,-0.01993133043583695,-0.016459296631852006,0.0010897807650117534,-0.0010588019776671073,0.003836621483908153,-0.00035682417782108663
aspect_ratio_median,0.4875875022213509,0.40549405937158384,0.5166699331861442,0.1844258917026888,0.21241506517004088,0.19928637057002324,0.09550337594966171,-0.32822897470715523,-0.05891156667225291,0.035469572124593715,0.16649809401417617,0.16830848883749377,0.032311325952602256,-0.12762338099615742,-0.13627555241227632,-0.047534263113487484,-0.019340385098363586,0.09905586731074092,0.043534351350246095,-0.01893556449236658,-0.007197800161768407,0.0033911564133619855
