cluster_label,primary_category,primary_score,secondary_category,secondary_score,score_gap,confidence,morphology_summary,evidence_summary
1,fibrous_synthetic_materials,2.0197631310078417,biological,1.3506382902517793,0.6691248407560624,moderate,"heterogeneous circularity, less circular particles","lower circularity_median (z=-0.80, score=+0.80); higher aspect_ratio_median (z=+0.65, score=+0.78); higher eccentricity_p90 (z=+0.28, score=+0.28); higher eccentricity_iqr (z=+0.45, score=+0.27)"
2,combustion_related,3.5145635725084436,industrial,-1.3735958836770124,4.8881594561854556,high,"smaller particle bodies, shorter upper-tail particle extent, more compact non-elongated shapes, less circular particles, more aligned orientations","lower aspect_ratio_median (z=-1.78, score=+1.42); lower area_median (z=-1.19, score=+1.25); lower feret_p90 (z=-0.95, score=+0.81); lower circularity_median (z=-0.80, score=-0.76)"
3,fibrous_synthetic_materials,3.41485863645355,mechanical_non_combustion_particulate,0.6717593929541597,2.7430992434993904,high,"very elongated tail cases, less circular particles, darker overall deposits","higher aspect_ratio_p90 (z=+0.87, score=+1.00); lower circularity_median (z=-0.80, score=+0.80); higher aspect_ratio_median (z=+0.65, score=+0.78); higher feret_p90 (z=+0.35, score=+0.32)"
4,mixed_unknown,3.9010749494217,mechanical_non_combustion_particulate,3.0959136670533183,0.8051612823683816,high,"larger particle bodies, long upper-tail particle extent, round compact particles, heterogeneous solidity, high orientation dispersion, broad directional spread","higher orientation_entropy (z=+1.29, score=+1.23); higher area_iqr (z=+1.29, score=+1.03); higher circular_variance (z=+1.02, score=+0.91); higher solidity_iqr (z=+1.23, score=+0.68)"
