cluster_label,category,score
4,mixed_unknown,3.9010749494217
4,mechanical_non_combustion_particulate,3.0959136670533183
4,biological,1.7189806383273731
4,industrial,0.7446281923425597
4,fibrous_synthetic_materials,-0.9549097041724415
4,combustion_related,-3.586782299142876
3,fibrous_synthetic_materials,3.41485863645355
3,mechanical_non_combustion_particulate,0.6717593929541597
3,biological,0.4983709978985149
3,industrial,0.3851020842666971
3,mixed_unknown,0.1889120231637715
3,combustion_related,-1.620279485242578
2,combustion_related,3.5145635725084436
2,industrial,-1.3735958836770124
2,mechanical_non_combustion_particulate,-2.1597115703459617
2,fibrous_synthetic_materials,-2.8625272513421076
2,biological,-3.2643660298701542
2,mixed_unknown,-4.954812250737852
1,fibrous_synthetic_materials,2.0197631310078417
1,biological,1.3506382902517793
1,mixed_unknown,1.0285385496021773
1,industrial,0.7894948768498335
1,mechanical_non_combustion_particulate,0.6005163808391648
1,combustion_related,-0.997339827905612
