cluster_label,category,score
3,mixed_unknown,1.9490713701185263
3,mechanical_non_combustion_particulate,1.454569501836494
3,biological,0.39163639676732004
3,industrial,-0.5461949860562975
3,fibrous_synthetic_materials,-2.0373994770761774
3,combustion_related,-2.42934860724842
2,fibrous_synthetic_materials,3.5685883033268855
2,mechanical_non_combustion_particulate,0.6842947098342241
2,biological,0.6822247274845398
2,mixed_unknown,0.41611676812234866
2,industrial,0.4042182029318056
2,combustion_related,-1.6183075195546068
1,fibrous_synthetic_materials,1.4846458560337616
1,biological,0.703021764161567
1,industrial,0.48415784874249834
1,mechanical_non_combustion_particulate,0.31129720924514087
1,mixed_unknown,0.10018130690213936
1,combustion_related,-0.34519704863173384
