image_id,cluster_label,silhouette_value
6926dff2d9ad5d97847a2901,3,0.3265875269424392
6926e00dd9ad5d97847a2903,3,0.2784714845937166
69280f25d9ad5d97847a290d,2,0.22488008210930302
6928936dd9ad5d97847a291d,3,0.34389826052737965
69295f14d9ad5d97847a2923,1,0.09455004844438546
692eb509d9ad5d97847a2932,1,0.3217977924567266
692f0f81d9ad5d97847a2936,1,0.23320834527181522
692f5d0bd9ad5d97847a293b,1,0.522347106921077
692f5d74d9ad5d97847a293d,1,0.522347106921077
69343043d9ad5d97847a294d,3,0.34225868645354485
6934308ad9ad5d97847a2950,3,0.2445049294212796
693430d1d9ad5d97847a2953,1,0.20941395493305287
6934314bd9ad5d97847a2956,3,0.24131779371289863
69343615d9ad5d97847a295a,3,0.10765468826861958
69343692d9ad5d97847a295d,3,-0.13149461850103394
69343728d9ad5d97847a2960,3,0.2061801988414227
693437b2d9ad5d97847a2963,3,-0.01233099454750102
69343822d9ad5d97847a2966,1,0.5169380669465428
693438d0d9ad5d97847a2969,3,-0.009198867683278366
6934393cd9ad5d97847a296c,1,0.18613355974476753
69343995d9ad5d97847a296f,1,0.5305801319830393
693439ebd9ad5d97847a2972,3,0.2586511470329005
69343ab2d9ad5d97847a2975,3,0.09464590651539523
69343b12d9ad5d97847a2978,3,-0.022850758077178828
69343b6cd9ad5d97847a297b,3,0.2590505611343108
69343cafd9ad5d97847a297e,3,0.14284215616132886
69343d36d9ad5d97847a2981,3,0.1960793630779687
69343daad9ad5d97847a2984,3,0.1544240620727113
69343e0ad9ad5d97847a2987,3,0.22610512882566544
69343e61d9ad5d97847a298a,1,0.5430643058740553
69343ed5d9ad5d97847a298d,3,0.1642076252503531
69343fd4d9ad5d97847a2990,3,0.182959335071941
6934400bd9ad5d97847a2993,3,0.2349795576487868
69344040d9ad5d97847a2996,3,0.24929371946802406
6934407cd9ad5d97847a2999,3,0.25247877116580375
693440d3d9ad5d97847a299c,1,0.4717733669129675
69344117d9ad5d97847a299f,3,0.19048494449011882
69344177d9ad5d97847a29a2,3,0.27435199525719384
693441b2d9ad5d97847a29a5,1,0.541068725635144
693441efd9ad5d97847a29a8,3,0.2668866073267172
69347aedd9ad5d97847a29ab,1,0.5850805329288579
6934833fd9ad5d97847a29af,1,0.49261894509406273
69349601d9ad5d97847a29b2,3,0.08632437597400734
69384715d9ad5d97847a29bf,1,0.5856928203836703
6947d9cbd9ad5d97847a29f4,2,0.29566910575338057
69720450d9ad5d97847a2a53,1,0.4983305622145386
69720603d9ad5d97847a2a56,1,0.5545147161541646
697206f0d9ad5d97847a2a59,1,0.5783655224096085
6972071bd9ad5d97847a2a5b,1,0.5783655224096085
6972074fd9ad5d97847a2a5d,1,0.5371031757256803
69720794d9ad5d97847a2a60,1,0.47710225330246747
697207b3d9ad5d97847a2a62,3,-0.02320792598870799
697207d6d9ad5d97847a2a64,3,-0.020432649889621308
6972080dd9ad5d97847a2a67,1,0.24957294965826268
6972080fd9ad5d97847a2a69,3,-0.02320792598870799
69720871d9ad5d97847a2a6b,1,0.5404686491697119
69721145d9ad5d97847a2a72,3,0.22066410332569594
