selected_cluster_label,alternative_cluster_label,overlap_count,fraction_within_selected_cluster
1,1,1193,0.9342208300704777
1,2,55,0.04306969459671104
1,3,29,0.022709475332811275
2,1,0,0.0
2,2,480,0.9917355371900827
2,3,4,0.008264462809917356
3,1,0,0.0
3,2,0,0.0
3,3,311,1.0
