cluster_label,count,fraction,num_particles,mean_pixel_intensity,orientation_entropy,circular_variance,area_median,area_iqr,solidity_median,solidity_iqr,solidity_p90,aspect_ratio_median,aspect_ratio_iqr,aspect_ratio_p90,feret_iqr,feret_p90,eccentricity_iqr,eccentricity_p90,circularity_median,circularity_iqr,circularity_p90,mean_intensity_median,mean_intensity_iqr,mean_intensity_p90
1,1277,0.6163127413127413,-0.07269689635757655,0.10446922657500946,0.12636387677817582,0.1304526632848328,0.0,0.0,0.0,0.0,0.0,0.21608826605155224,0.0,0.006377693940731262,0.11971398348126187,0.0,0.06364925509839155,0.0,0.0,0.20547860686537373,0.007915386421926568,0.0,0.03819465637207031,0.0
2,484,0.2335907335907336,0.3612410612376362,-0.09198689193102112,-0.9573801792477488,-0.920337428763182,-1.0000000000000002,-1.0814269393474247,0.0,0.0,0.0,-2.176498637275998,0.0,-0.5573733674407206,-0.9214048156698301,-0.718929656930273,-0.09206230941959252,0.0,0.0,-1.4385520702750911,-0.13874983256514276,0.3348852804129052,-0.04513867696126302,0.0
3,311,0.1500965250965251,-0.5177699216922093,0.14223264849750442,0.9513069970578976,0.703411569778439,2.2598510045646627,0.9830180882959813,0.0,1.6802711169973832,0.0,0.1948178711149674,-1.2337887302522839,-0.09932233862473072,0.7093166821324726,1.0813638068315505,-3.9849695931951086,0.0,1.0923475807033745,-0.3780340671640131,-0.03998044547445593,-0.6489970848731477,0.03819465637207031,0.0
