cluster_label,count,fraction,morphology_summary,top_positive_signature,top_negative_signature
1,1277,0.6163127413127413,"heterogeneous circularity, less circular particles",aspect_ratio_iqr (z=+0.67); aspect_ratio_median (z=+0.66); circularity_iqr (z=+0.62); eccentricity_iqr (z=+0.45),circularity_median (z=-0.80); solidity_iqr (z=-0.41); area_median (z=-0.34); num_particles (z=-0.10)
2,484,0.2335907335907336,"smaller particle bodies, shorter upper-tail particle extent, more compact non-elongated shapes, less circular particles, more aligned orientations",mean_intensity_median (z=+0.97); aspect_ratio_iqr (z=+0.67); num_particles (z=+0.51); eccentricity_iqr (z=+0.36),circularity_iqr (z=-1.77); aspect_ratio_median (z=-1.76); area_iqr (z=-1.29); area_median (z=-1.19)
3,311,0.1500965250965251,"larger particle bodies, long upper-tail particle extent, round compact particles, heterogeneous solidity, high orientation dispersion, broad directional spread",area_median (z=+1.60); area_iqr (z=+1.37); solidity_iqr (z=+1.34); orientation_entropy (z=+1.32),eccentricity_iqr (z=-1.82); aspect_ratio_iqr (z=-1.46); mean_intensity_median (z=-1.23); num_particles (z=-0.72)
