sensor_id,latitude,longitude,total,transit,park,gas_station,parking,industrial,major_road_proxy,dominant_place_category,place_diversity_entropy,green_vs_traffic_ratio_500m
67efacfcfc34192f37316d1e,36.42303203255089,-6.149575614047242,2,1,0,0,1,0,0,parking,1.0,0.0
692f5d0bd9ad5d97847a293b,37.270130416453945,-6.834104895154809,2,0,0,1,0,1,0,gas_station,1.0,0.0
692f5d74d9ad5d97847a293d,37.270132892450626,-6.834115179029681,2,0,0,1,0,1,0,gas_station,1.0,0.0
692eb509d9ad5d97847a2932,37.27418176570474,-6.832072694381708,0,0,0,0,0,0,0,,,
6928936dd9ad5d97847a291d,37.27421811088496,-6.831523812174822,0,0,0,0,0,0,0,,,
692f0f81d9ad5d97847a2936,37.27425132928843,-6.83580157914875,0,0,0,0,0,0,0,,,
69295f14d9ad5d97847a2923,37.27464,-6.8369079,0,0,0,0,0,0,0,,,
67fa3ac4fc34192f37317352,37.583628,-1.6642118,1,0,1,0,0,0,0,park,0.0,
67fa3b90fc34192f37317355,37.583628,-1.6642118,1,0,1,0,0,0,0,park,0.0,
67f0f305fc34192f37316d9d,37.6121988,-1.639916,0,0,0,0,0,0,0,,,
67feae8cffdee468dfce026d,37.62686281178993,-1.7382244679840153,0,0,0,0,0,0,0,,,
67feaccaffdee468dfce026b,37.62693078996393,-1.7381869170578068,0,0,0,0,0,0,0,,,
67f0df27fc34192f37316d93,37.63943009398288,-1.7046452243734822,1,0,0,1,0,0,0,gas_station,0.0,0.0
67f77adffc34192f37317144,37.650477007979376,-1.6718274931762767,1,0,0,0,1,0,0,parking,0.0,0.0
67febdebffdee468dfce026f,37.65599513375672,-1.6732322606689465,1,0,0,0,1,0,0,parking,0.0,0.0
67fa1602fc34192f37317349,37.6563681,-1.6785421,0,0,0,0,0,0,0,,,
67fa16e0fc34192f3731734b,37.6563681,-1.6785421,0,0,0,0,0,0,0,,,
67ff6608ffdee468dfce0274,37.660628435683975,-1.7065935763961804,2,0,1,1,0,0,0,gas_station,1.0,1.0
67f54ad5fc34192f37316ff4,37.66267111253395,-1.7085602396904775,1,0,1,0,0,0,0,park,0.0,
67f54121fc34192f37316fd5,37.663046895933384,-1.6950466665870678,1,0,0,0,1,0,0,parking,0.0,0.0
67f793abfc34192f373171a5,37.663592685066675,-1.7034093510650705,2,0,2,0,0,0,0,park,0.0,
67f2693afc34192f37316dab,37.66511282283884,-1.697824094021989,1,0,0,0,1,0,0,parking,0.0,0.0
67f018b1fc34192f37316d60,37.66527436428276,-1.6959958257730556,1,0,0,0,1,0,0,parking,0.0,0.0
67f569bcfc34192f37317004,37.6655723,-1.6979976,0,0,0,0,0,0,0,,,
67f56a1cfc34192f37317007,37.6655723,-1.6979976,0,0,0,0,0,0,0,,,
67f42e84fc34192f37316e4c,37.667732915737915,-1.6871594542839174,0,0,0,0,0,0,0,,,
6804e628ffdee468dfce02d4,37.6680268,-1.6860464,1,0,0,0,1,0,0,parking,0.0,0.0
67fa2602fc34192f37317350,37.66959721344833,-1.676037961035164,1,0,0,1,0,0,0,gas_station,0.0,0.0
67f960f5fc34192f37317327,37.6710117,-1.7023505,3,1,0,0,2,0,0,parking,0.9182958340544896,0.0
67f964d5fc34192f3731732f,37.6710117,-1.7023505,3,1,0,0,2,0,0,parking,0.9182958340544896,0.0
67f2bb5cfc34192f37316db2,37.6716537,-1.6968653,5,2,0,0,3,0,0,parking,0.9709505944546686,0.0
67f5614cfc34192f37317000,37.6730331,-1.6883731,3,0,0,0,3,0,0,parking,0.0,0.0
67f02d9ffc34192f37316d65,37.6735925,-1.6968357,5,2,0,0,3,0,0,parking,0.9709505944546686,0.0
67f0c665fc34192f37316d8d,37.6735925,-1.6968357,5,2,0,0,3,0,0,parking,0.9709505944546686,0.0
67f0c88bfc34192f37316d90,37.6735925,-1.6968357,5,2,0,0,3,0,0,parking,0.9709505944546686,0.0
67f4bb2afc34192f37316e55,37.6735925,-1.6968357,5,2,0,0,3,0,0,parking,0.9709505944546686,0.0
67f51f1efc34192f37316fcf,37.6735925,-1.6968357,5,2,0,0,3,0,0,parking,0.9709505944546686,0.0
67f6777afc34192f373170f9,37.6735925,-1.6968357,5,2,0,0,3,0,0,parking,0.9709505944546686,0.0
67fd16e2fc34192f373173d5,37.6735925,-1.6968357,5,2,0,0,3,0,0,parking,0.9709505944546686,0.0
67fe1e27fc34192f37317475,37.6735925,-1.6968357,5,2,0,0,3,0,0,parking,0.9709505944546686,0.0
68094e02ffdee468dfce0366,37.6735925,-1.6968357,5,2,0,0,3,0,0,parking,0.9709505944546686,0.0
682a2f6dffdee468dfce07a0,37.6735925,-1.6968357,5,2,0,0,3,0,0,parking,0.9709505944546686,0.0
682a2f82ffdee468dfce07a2,37.6735925,-1.6968357,5,2,0,0,3,0,0,parking,0.9709505944546686,0.0
67f4248afc34192f37316e47,37.67441036075824,-1.696606142999173,6,2,0,0,4,0,0,parking,0.9182958340544896,0.0
67ff80e6ffdee468dfce0277,37.6753286,-1.6975307,6,2,0,0,4,0,0,parking,0.9182958340544896,0.0
68069639ffdee468dfce02f5,37.67598632992716,-1.695073564873506,4,1,0,0,3,0,0,parking,0.8112781244591328,0.0
682706c1ffdee468dfce073e,37.67629805403187,-1.693144589795097,2,0,0,0,2,0,0,parking,0.0,0.0
68270985ffdee468dfce074e,37.67637780096208,-1.6943036946899426,2,0,0,0,2,0,0,parking,0.0,0.0
68270a77ffdee468dfce0750,37.67637780096208,-1.6943036946899426,2,0,0,0,2,0,0,parking,0.0,0.0
68270b59ffdee468dfce0757,37.67637780096208,-1.6943036946899426,2,0,0,0,2,0,0,parking,0.0,0.0
68270762ffdee468dfce0746,37.6764671300772,-1.6931989497931998,2,0,0,0,2,0,0,parking,0.0,0.0
68270648ffdee468dfce073a,37.6765879,-1.6944578,2,0,0,0,2,0,0,parking,0.0,0.0
682706bcffdee468dfce073c,37.6765879,-1.6944578,2,0,0,0,2,0,0,parking,0.0,0.0
68270716ffdee468dfce0742,37.6765879,-1.6944578,2,0,0,0,2,0,0,parking,0.0,0.0
6827074cffdee468dfce0744,37.6765879,-1.6944578,2,0,0,0,2,0,0,parking,0.0,0.0
68270ae8ffdee468dfce0753,37.6765879,-1.6944578,2,0,0,0,2,0,0,parking,0.0,0.0
68270bb9ffdee468dfce0759,37.6765879,-1.6944578,2,0,0,0,2,0,0,parking,0.0,0.0
6827076dffdee468dfce0748,37.676623989239374,-1.6944980331352189,2,0,0,0,2,0,0,parking,0.0,0.0
682707ceffdee468dfce074c,37.676623989239374,-1.6944980331352189,2,0,0,0,2,0,0,parking,0.0,0.0
68270772ffdee468dfce074a,37.676657955566235,-1.694468528836055,2,0,0,0,2,0,0,parking,0.0,0.0
682706e4ffdee468dfce0740,37.67666432425082,-1.6944604822090104,2,0,0,0,2,0,0,parking,0.0,0.0
6806a1c4ffdee468dfce02f8,37.67700617757741,-1.6944029364234936,3,0,0,0,3,0,0,parking,0.0,0.0
67fac5c4fc34192f3731736b,37.6779087,-1.6951054,3,0,0,0,3,0,0,parking,0.0,0.0
67f0f003fc34192f37316d98,37.681386423340435,-1.6848922742554429,2,1,0,1,0,0,0,transit,1.0,0.0
67f0edc4fc34192f37316d96,37.68141614196942,-1.6848976386733128,2,1,0,1,0,0,0,transit,1.0,0.0
680a96f0ffdee468dfce036d,37.68145621920948,-1.6355448008367635,0,0,0,0,0,0,0,,,
67f5525dfc34192f37316ff9,37.6814795,-1.6870094,3,2,0,1,0,0,0,transit,0.9182958340544896,0.0
67f55361fc34192f37316ffc,37.6814795,-1.6870094,3,2,0,1,0,0,0,transit,0.9182958340544896,0.0
680544c3ffdee468dfce02dd,37.6820175,-1.6939177,2,1,0,0,1,0,0,parking,1.0,0.0
