cluster_label,image_id,sensor_id,capture_datetime,collection_datetime,official_station_id,official_station_name,silhouette_value,rank_within_cluster
1,67f4cc2dfc34192f37316eb6,67f4cc2dfc34192f37316eb6,2025-03-27,2025-04-04,,,-0.15238466505143095,1
1,67dc0cfe3ac225e471110654,67dc0cfe3ac225e471110654,2025-03-10,2025-03-17,,,-0.1486877527377097,2
1,67dc10e83ac225e471110680,67dc10e83ac225e471110680,2025-03-10,2025-03-17,,,-0.1486877527377097,3
1,67f799b7fc34192f373171b0,67f799b7fc34192f373171b0,2025-04-04,2025-04-10,,,-0.13622273614824923,4
1,680b566bffdee468dfce03a4,680b566bffdee468dfce03a4,2025-03-24,2025-03-30,,,-0.12767605932825965,5
2,67f553bafc34192f37316ffe,67f553bafc34192f37316ffe,2025-03-27,2025-04-03,,,0.13332879745644322,1
2,67ebd7c73ac225e471110a7b,67ebd7c73ac225e471110a7b,2025-03-25,2025-03-28,,,0.14366171585553883,2
2,6808a7b1ffdee468dfce0338,6808a7b1ffdee468dfce0338,2025-04-03,2025-04-23,,,0.1459931761295793,3
2,67ea581c3ac225e4711109c2,67ea581c3ac225e4711109c2,2025-03-24,2025-03-31,,,0.1500248152805359,4
2,67efaea8fc34192f37316d30,67efaea8fc34192f37316d30,2025-03-28,2025-04-02,,,0.15017285140651965,5
3,69ab355ad9ad5d97847a2d1f,69ab355ad9ad5d97847a2d1f,2026-02-27,2026-03-06,,,-0.19517865458321682,1
3,67dc0c2f3ac225e471110646,67dc0c2f3ac225e471110646,2025-03-10,2025-03-17,,,-0.19405846023156625,2
3,67dc0dda3ac225e471110660,67dc0dda3ac225e471110660,2025-03-10,2025-03-17,,,-0.19405846023156625,3
3,68245d9fffdee468dfce06d7,68245d9fffdee468dfce06d7,2025-05-07,2025-05-14,,,-0.19182804767954673,4
3,67ed96e63ac225e471110b8d,67ed96e63ac225e471110b8d,2025-03-25,2025-04-01,,,-0.16582779267703798,5
4,69b1aeebd9ad5d97847a2f2f,69b1aeebd9ad5d97847a2f2f,2026-03-07,2026-03-11,,,-0.18258465697915235,1
4,69b1b2a1d9ad5d97847a2f54,69b1b2a1d9ad5d97847a2f54,2026-03-07,2026-03-11,,,-0.18258465697915235,2
4,6826f6c0ffdee468dfce0737,6826f6c0ffdee468dfce0737,2025-04-22,2025-04-23,,,-0.18254942491625714,3
4,67f7c9fbfc34192f37317227,67f7c9fbfc34192f37317227,2025-04-04,2025-04-10,,,-0.18077036187280335,4
4,67fd623dfc34192f373173e5,67fd623dfc34192f373173e5,2025-04-02,2025-04-09,,,-0.17707185772058462,5
