cluster_label,count,pc1_mean,pc2_mean,pc1_std,pc2_std,mean_distance_to_pca_centroid,p90_distance_to_pca_centroid
1,434,-2.473056008671167,-1.7399574230748538,1.033567732166772,1.3288535540968063,1.3818380002527269,2.5293080278351905
2,1210,-0.605216369429559,0.6165277663395324,1.1428350360994262,1.0066097972561705,1.3210732523218232,2.424134955350157
3,273,3.57788475352443,3.2065984679027553,1.9269519475832444,1.3479202468665874,2.029379822921027,3.5825809900115138
4,165,5.023367133702333,-5.250051256932114,3.1929451160528286,2.3474476777058877,3.5657271354871143,5.351785734295077
