cluster_label,count,mean_silhouette,median_silhouette,std_silhouette,min_silhouette,p10_silhouette,p90_silhouette
1,434,0.2074309719650651,0.23328945714774238,0.11548895637064528,-0.15238466505143095,0.03347163455290202,0.3278046478998069
2,1210,0.5061053837200492,0.5445581274642908,0.11974784900754618,0.13332879745644322,0.3220546725313273,0.6303308483830056
3,273,0.19170153235042395,0.2320566963109368,0.16130209788081096,-0.19517865458321682,-0.06671084354853829,0.3619629820078624
4,165,0.16822149582838644,0.20937573516973967,0.19025746218759274,-0.18258465697915235,-0.11591471892723076,0.3935816214270619
