cluster_label,count,fraction,num_particles,area_percentage,mean_pixel_intensity,orientation_entropy,circular_variance,area_median,area_iqr,solidity_median,solidity_iqr,aspect_ratio_median,aspect_ratio_iqr,aspect_ratio_p90,feret_iqr,feret_p90,eccentricity_iqr,eccentricity_p90,circularity_median,circularity_iqr,circularity_p90,mean_intensity_median,mean_intensity_iqr,mean_intensity_p90
1,434,0.2084534101825168,0.37694887455910914,0.04234981651487353,-0.3236326906041116,-1.0260257313967234,-0.9602354418423196,-1.40942083965321,-1.0814269393474247,0.0,0.0,-2.211596392173144,0.0,-0.5813778390500227,-0.9807801619933069,-0.8236983906181531,-0.17030479667804752,0.0,0.0,-1.7508883014365706,0.0,0.3453236651910652,-0.0801589602515811,0.0
2,1210,0.5811719500480308,-0.11164014756051557,-0.07033157661655441,0.11559600124410341,0.09220672629799809,0.10581954721570319,0.0,0.0,0.0,0.0,0.2307428948699594,0.0,0.04807546709759003,0.09727760191653853,0.0,0.07655763845153918,0.0,0.0,0.0,0.0,0.0863309162977663,0.015079134986514137,0.0
3,273,0.13112391930835735,-0.6622272995370635,-0.11368530408454401,0.24708995212976578,0.8559039014056267,0.686767553102084,3.4094208396532095,0.9305551178943804,0.0,1.471226836523531,0.03555058476711415,-1.2862993468657538,-0.3766202205735563,0.6115448636567064,0.9005590738492739,-3.997259061380649,-0.10595029586189872,1.0,-1.142428734785082,0.0,-0.46492806525403246,0.15717188517252603,0.0
4,165,0.0792507204610951,0.9910037173245891,4.328337018436262,-6.58806096616015,0.5507289329402583,0.2439425729935079,1.0,0.21518000377179783,0.0,0.0,0.24403398046821004,0.0,0.5947678409006822,0.4447450128360373,0.9005590738492739,0.12971148629740675,0.0,0.15191543728166867,0.0,0.0,-0.6906473303821304,-1.1753970554896764,-0.20177602806386177
