variable,cluster_label,category,observed_count,expected_count,pearson_residual
official_station_id,3,STA_ES0041A,42,9.392592592592592,10.639556549523602
official_station_id,3,STA_ES1244A,51,15.32475633528265,9.113184421757197
official_station_id,4,STA_ES1378A,23,4.245614035087719,9.10191120528028
capture_season,4,autumn,28,6.368421052631579,8.571806056436444
official_station_id,2,STA_ES1621A,42,12.865497076023392,8.122586174792637
official_station_id,3,STA_ES2173A,18,3.336842105263158,8.027118655119681
official_station_id,3,STA_ES0905A,16,3.0896686159844053,7.344824773292367
official_station_id,3,STA_ES1595A,8,0.9886939571150097,7.051280391237692
official_station_id,3,STA_ES1650A,8,0.9886939571150097,7.051280391237692
official_station_id,3,STA_ES1037A,10,1.6066276803118908,6.621842788066462
official_station_id,2,STA_ES1569A,44,17.797270955165693,6.211118566468681
official_station_id,3,STA_ES2127A,6,0.7415204678362574,6.106587948018917
official_station_id,3,STA_ES0104A,11,2.2245614035087717,5.883647328231362
capture_season,3,winter,116,68.34346978557505,5.764662777629241
official_station_id,3,STA_ES2123A,5,0.6179337231968811,5.574526614198576
official_station_id,3,STA_ES0805A,11,2.5953216374269004,5.217056071044555
official_pm25_band,3,moderate,199,140.02378167641325,4.983976890495741
official_station_id,4,STA_ES1346A,43,20.52046783625731,4.962421384866122
station_distance_band,3,over_10km,11,41.030799220272904,-4.688262304846084
official_station_id,1,STA_ES1580A,87,53.08771929824562,4.654359922800909
station_distance_band,3,under_1km,151,104.06003898635477,4.601513838163265
official_station_id,1,STA_ES1244A,28,64.53801169590643,-4.548174508794961
official_station_id,4,STA_ES1747A,5,0.8491228070175438,4.504583395537053
official_pm25_band,3,low,118,176.97621832358675,-4.4332218582582925
official_station_id,1,STA_ES0041A,13,39.55555555555556,-4.222324888692
official_station_id,4,STA_ES0010R,6,1.2736842105263158,4.187857091693038
official_station_id,3,STA_ES1868A,0,16.931384015594542,-4.114776302011391
official_station_id,2,STA_ES0333A,33,16.510721247563353,4.058061619136187
official_station_id,4,STA_ES1442A,3,0.4245614035087719,3.952582511592489
official_station_id,4,STA_ES1868A,2,19.38830409356725,-3.9490016511879173
official_pm25_band,1,moderate,495,589.6900584795321,-3.8993523625283144
official_station_id,2,STA_ES2161A,5,1.0721247563352827,3.7934557562356117
official_station_id,1,STA_ES2173A,0,14.052631578947368,-3.748683979605025
official_station_id,1,STA_ES1593A,71,45.801169590643276,3.7234206198876403
official_station_id,1,STA_ES1633A,26,53.08771929824562,-3.717709115780965
official_station_id,3,STA_ES1818A,7,1.9773879142300195,3.5717717633370656
official_station_id,3,STA_ES1580A,0,12.605847953216374,-3.5504715113934338
official_station_id,2,STA_ES1598A,22,10.50682261208577,3.545719776651103
official_station_id,2,STA_ES0041A,2,16.296296296296298,-3.5414334444897935
official_station_id,4,STA_ES1593A,0,12.453801169590644,-3.5289943566957778
official_station_id,3,STA_ES2136A,2,0.24717348927875243,3.525640195618846
official_station_id,3,STA_ES1346A,3,17.920077972709553,-3.5245294622525107
official_station_id,3,STA_ES1633A,25,12.605847953216374,3.4908467810573596
official_pm25_band,1,low,840,745.3099415204679,3.4684539086801793
official_station_id,4,STA_ES1244A,32,17.548538011695907,3.4497793206526564
official_station_id,1,STA_ES1621A,12,31.228070175438596,-3.4408292794753383
official_station_id,2,STA_ES1868A,48,29.376218323586745,3.4361327058038142
official_station_id,2,STA_ES1593A,4,18.869395711500974,-3.423058514807846
official_station_id,3,STA_ES1387A,2,14.953996101364522,-3.3498482250859327
official_station_id,1,STA_ES0905A,1,13.011695906432749,-3.32994742286076
official_station_id,4,STA_ES0120A,2,0.2830409356725146,3.227270106549992
capture_season,2,winter,84,118.57699805068226,-3.1753167898360313
official_station_id,3,STA_ES2103A,3,15.448343079922028,-3.1671643201309703
official_station_id,1,STA_ES1174A,32,18.736842105263158,3.064070413440524
official_station_id,2,STA_ES1271A,11,4.502923976608187,3.0617564481906068
official_station_id,1,STA_ES0104A,0,9.368421052631579,-3.060787652326044
official_station_id,1,STA_ES2054A,29,16.65497076023392,3.0249638268072467
official_station_id,2,STA_ES2019A,12,5.146198830409356,3.021260831544926
official_station_id,4,STA_ES2051A,5,1.4152046783625731,3.013385792519922
official_station_id,2,STA_ES1580A,8,21.871345029239766,-2.966066121615618
official_station_id,3,STA_ES1569A,1,10.257699805068226,-2.890534128467853
official_station_id,1,STA_ES1831A,71,50.485380116959064,2.8872251960591684
official_station_id,3,STA_ES1831A,2,11.987914230019493,-2.8847155176276664
