gml_id,name,latitude,longitude
STA_ES0963A,CASTELLBISBAL (CEIP MARE DE DÉU DE MONTSERRAT),41.473378006,1.982016549
STA_ES1853A,CASTELLET I LA GORNAL (CLARIANA),41.2449,1.6177
STA_ES1773A,CUBELLES (POLIESPORTIU),41.2022,1.6722
STA_ES2193A,CUBELLES (POLIESPORTIU),41.2022,1.6722
STA_ES0266A,ESPLUGUES DE LLOBREGAT (CEIP ISIDRE MARTÍ),41.3793,2.0861
STA_ES1910A,GAVÀ (PARC DEL MIL·LENI),41.303112534,1.991523957
STA_ES1891A,GRANOLLERS (FRANCESC MACIÀ),41.598666901,2.287117688
STA_ES0692A,L'HOSPITALET DE LLOBREGAT (AV. DEL TORRENT GORNAL),41.370504108,2.114973082
STA_ES1135A,IGUALADA (LA MASUCA),41.5776,1.6259
STA_ES2190A,IGUALADA (VIRTUT-DELICIES),41.5776,1.6259
STA_ES1397A,MANLLEU (HOSPITAL COMARCAL),42.003276504,2.287271914
STA_ES0392A,MANRESA (CEIP LA FONT),41.7277,1.8385
STA_ES1125A,MANRESA (PL. D'ESPANYA),41.730280261,1.825306423
STA_ES1861A,MANRESA (AJUNTAMENT),41.723,1.8269
STA_ES2189A,MANRESA (CEIP LA FONT),41.7277,1.8385
STA_ES1126A,MARTORELL (POLIESPORTIU MUNICIPAL),41.4756,1.9232
STA_ES1390A,MATARÓ (EL CROS),41.5304,2.422
STA_ES1413A,MATARÓ (PABLO IGLESIAS),41.5318,2.4326
STA_ES1816A,MATARÓ (PASSEIG DELS MOLINS),41.547159712,2.443253787
STA_ES1841A,MATARÓ (LABORATORI D'AIGÜES),41.551859569,2.43729
STA_ES0586A,MOLINS DE REI (AJUNTAMENT),41.4136,2.016
STA_ES1814A,MOLLET DEL VALLÈS (AP7 KM. 139),41.5492,2.2121
STA_ES0584A,MONTCADA I REIXAC (PL. DE LLUÍS COMPANYS),41.4821,2.1883
STA_ES1665A,MONTCADA I REIXAC (AJUNTAMENT),41.479955339,2.187268328
STA_ES1931A,MONTCADA I REIXAC (CAN SANT JOAN),41.469800555,2.184233488
STA_ES0704A,MONTORNÈS DEL VALLÈS (CEIP MARINADA),41.55242119,2.265250427
STA_ES1778A,MONTSENY (LA CASTANYA),41.779343452,2.358018901
STA_ES1683A,PALLEJÀ (MERCAT MUNICIPAL),41.420848099,1.996502724
STA_ES2012A,PALLEJÀ (ROCA DE VILANA),41.4153,1.9905
STA_ES1871A,EL PAPIOL (CENTRE DE DIA JOSEP TARRADELLAS),41.436,2.0079
STA_ES1929A,EL PRAT DE LLOBREGAT (JARDINS DE LA PAU),41.32149521,2.09772526
STA_ES1983A,EL PRAT DE LLOBREGAT (CEM SAGNIER),41.321768405,2.082140639
STA_ES1777A,EL PONT DE VILOMARA I ROCAFORT (CEIP POMPEU FABRA),41.701765985,1.87224076
STA_ES1684A,RUBÍ (CA N'ORIOL),41.492082863,2.042497085
STA_ES1895A,RUBÍ (L'ESCARDÍVOL),41.4941,2.0296
STA_ES1262A,SABADELL (GRAN VIA),41.561175397,2.101405057
STA_ES1872A,SABADELL (IES ESCOLA INDUSTRIAL),41.548225196,2.105157341
STA_ES1148A,SANT ADRIÀ DE BESÒS (OLÍMPIC),41.4256,2.2222
STA_ES0971A,SANT ANDREU DE LA BARCA (CEIP JOSEP PLA),41.4508,1.9749
STA_ES1275A,SANT CELONI (CARLES DAMM),41.689049442,2.495746675
STA_ES1231A,SANT CUGAT DEL VALLÈS (PARC DE SANT FRANCESC),41.476769365,2.088977264
STA_ES1362A,SANT FELIU DE LLOBREGAT (EUGENI D'ORS),41.383226589,2.044453466
STA_ES1964A,SANT FELIU DE LLOBREGAT (CEIP MARTÍ I POL),41.3866,2.0574
STA_ES1965A,SANT JUST DESVERN (CEIP MONTSENY),41.38193008,2.066347853
STA_ES1453A,SANTA COLOMA DE GRAMENET (BALLDOVINA),41.447350254,2.209511187
STA_ES1776A,SANTA COLOMA DE GRAMENET (AJUNTAMENT),41.452115161,2.208196282
