candidate_id,method,feature_space,k,selection_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,repeat_mean_ari,bootstrap_mean_ari,smallest_cluster_fraction,noise_fraction,cluster_entropy,eligible_for_final_selection,exclusion_reasons
pca_scores__kmeans__k-4,kmeans,pca_scores,4,0.8227687413749498,0.3758422772706279,793.7648666488919,1.0749404075707696,1.0,0.9951855028288784,0.0792507204610951,0.0,0.8003890374492845,true,
pca_scores__kmeans__k-5,kmeans,pca_scores,5,0.816050097642231,0.36114182402148154,819.1677083385213,0.9619818158201536,0.9994285349786468,0.993451179500148,0.03121998078770413,0.0,0.7584386519778864,true,
pca_scores__fuzzy__k-4,fuzzy,pca_scores,4,0.8089108083234058,0.3515023117024686,763.6001697436874,1.1116671017854358,1.0,0.9820871674155247,0.10182516810758886,0.0,0.849183814174932,true,
pca_scores__kmeans__k-3,kmeans,pca_scores,3,0.8031060345516943,0.4527599034786733,711.1193350279499,1.274590946643987,1.0,0.9701479585271158,0.08549471661863593,0.0,0.6556990777546052,true,
pca_scores__kmeans__k-6,kmeans,pca_scores,6,0.8015055742669526,0.3677539142991674,783.2422611750793,0.9757859499248719,1.0,0.9806745910890182,0.024975984630163303,0.0,0.7206319545093723,true,
pca_scores__kmeans__k-7,kmeans,pca_scores,7,0.7786423651302883,0.36663024608031286,757.1643812880634,1.0643684356434755,0.9899909932240003,0.9628494440168712,0.022574447646493755,0.0,0.7550386997839821,true,
pca_scores__fuzzy__k-3,fuzzy,pca_scores,3,0.7568073838228995,0.3136857806589889,583.9883603513201,1.3438952656571805,1.0,0.9799791560126592,0.18587896253602307,0.0,0.9072453838950442,true,
selected_features__kmeans__k-4,kmeans,selected_features,4,0.7494940522174761,0.3210716705560711,610.413352402138,1.2503614131683765,1.0,0.9955469663422143,0.07973102785782901,0.0,0.8049174189521552,true,
pca_scores__fuzzy__k-2,fuzzy,pca_scores,2,0.7469916073632936,0.38096876941091923,583.6652696009166,1.6998232112847502,1.0,0.9505065918852935,0.287223823246878,0.0,0.865108022808665,true,
selected_features__kmeans__k-5,kmeans,selected_features,5,0.7368966627426196,0.30689527275778916,608.5712862066632,1.128335891663239,1.0,0.9942786615699627,0.03121998078770413,0.0,0.7549800296433498,true,
pca_scores__gmm__k-2__covariance-full,gmm,pca_scores,2,0.72045634675041,0.345822909400319,472.78683181628713,1.914886841966272,0.9992814184138848,0.9948324940988366,0.33957732949087416,0.0,0.9244136639416334,true,
pca_scores__fuzzy__k-5,fuzzy,pca_scores,5,0.7120815101640126,0.19061181354040957,656.0854180128124,1.310653778040753,1.0,0.9843385474755115,0.08501440922190202,0.0,0.9415149937794504,true,
pca_scores__fuzzy__k-6,fuzzy,pca_scores,6,0.6961664715945416,0.19149953180843618,587.5589236361824,1.2394332745245322,1.0,0.9711223296955304,0.06676272814601344,0.0,0.937118769478993,true,
selected_features__fuzzy__k-3,fuzzy,selected_features,3,0.6959860273681711,0.2472471984858405,471.0247374445344,1.5482911924143992,1.0,0.973390930917439,0.21517771373679154,0.0,0.9368120864696873,true,
pca_scores__gmm__k-3__covariance-diag,gmm,pca_scores,3,0.6494733375285283,0.22934630718324875,358.7627850035529,1.712505291793568,0.9978332230190203,0.9839943102313436,0.16570605187319884,0.0,0.9210471776219882,true,
selected_features__fuzzy__k-5,fuzzy,selected_features,5,0.6394474581386217,0.13893599664537806,483.6975428957843,1.538705187086709,0.9996608699527377,0.9682663235081554,0.10902977905859751,0.0,0.9590590379403343,true,
selected_features__fuzzy__k-6,fuzzy,selected_features,6,0.5613375240234417,0.13343115969080213,401.4720566928185,2.189394567660373,0.9872243228715133,0.9504680829295159,0.04130643611911623,0.0,0.917734523441905,true,
selected_features__fuzzy__k-7,fuzzy,selected_features,7,0.465312964453674,0.1072303987324275,341.6465580691303,3.243867082069015,0.9881628587922279,0.9525185413065712,0.040826128722382324,0.0,0.8978567627909692,true,
selected_features__hdbscan__mcs-42,hdbscan,selected_features,,0.8277633555629459,0.49273986708154277,751.0697075864185,0.7621275877658795,0.9963088521975866,0.9315419841794833,0.074447646493756,0.5456292026897214,0.6434357121996334,false,"bootstrap_instability,excessive_noise,robustness_only_method"
pca_scores__kmeans__k-2,kmeans,pca_scores,2,0.7480430074290797,0.4308450174216855,622.8885250117944,1.5744037111070717,0.9862344646959155,0.922044698810869,0.20893371757925072,0.0,0.7394396304341371,false,bootstrap_instability
selected_features__kmeans__k-3,kmeans,selected_features,3,0.7331163525990329,0.40933543486282864,566.9864727510894,1.4453843563832123,0.99956757370747,0.9333239236588028,0.08597502401536984,0.0,0.6559788545297609,false,bootstrap_instability
selected_features__kmeans__k-6,kmeans,selected_features,6,0.7251662935876695,0.3143272660064937,568.6599658112423,1.1026435669841894,0.9980653848657594,0.9933468462830921,0.0196926032660903,0.0,0.7113535792768836,false,tiny_cluster
pca_scores__ward__k-6,ward,pca_scores,6,0.7233258325791103,0.32924810469704135,691.4254607567877,1.0805913847361261,1.0,0.8113864448508477,0.03218059558117195,0.0,0.7816922407746404,false,bootstrap_instability
pca_scores__kmeans__k-8,kmeans,pca_scores,8,0.7141040630056464,0.25955206771464623,723.1704655322287,1.1597038148509475,0.9835928758950773,0.9392605129849233,0.025456292026897216,0.0,0.8570802139020722,false,bootstrap_instability
pca_scores__ward__k-5,ward,pca_scores,5,0.7133797186271077,0.3274495010808141,700.5364000510174,1.125359958427778,1.0,0.7868207531809893,0.03218059558117195,0.0,0.7677586281995077,false,bootstrap_instability
pca_scores__ward__k-7,ward,pca_scores,7,0.7123215613899035,0.33797831646954835,682.2608216534912,1.0393579054392343,1.0,0.8115222935582718,0.01729106628242075,0.0,0.7470328132963828,false,"tiny_cluster,bootstrap_instability"
selected_features__kmeans__k-2,kmeans,selected_features,2,0.7034696402979073,0.38954199214151797,522.0880563030796,1.7009535019070856,0.9992726694505181,0.9267264622083133,0.20413064361191163,0.0,0.7301128512256394,false,bootstrap_instability
selected_features__ward__k-4,ward,selected_features,4,0.6925722273866913,0.30899885911289154,555.2137937784164,1.2842060858791684,1.0,0.8534000872405039,0.08405379442843419,0.0,0.7990820879947349,false,bootstrap_instability
pca_scores__ward__k-3,ward,pca_scores,3,0.6904133256996315,0.4315393995872161,640.5061791313072,1.313590561690729,1.0,0.680873321723936,0.05523535062439962,0.0,0.6102320324714171,false,bootstrap_instability
