cluster_label,cluster_primary_category,temp_top_category,count,fraction_within_cluster
1,fibrous_synthetic_materials,combustion_related,134,0.10037453183520599
1,fibrous_synthetic_materials,mechanical_non_combustion_particulate,102,0.07640449438202247
1,fibrous_synthetic_materials,biological,206,0.1543071161048689
1,fibrous_synthetic_materials,fibrous_synthetic_materials,491,0.36779026217228467
1,fibrous_synthetic_materials,industrial,22,0.01647940074906367
1,fibrous_synthetic_materials,mixed_unknown,380,0.2846441947565543
2,combustion_related,combustion_related,528,0.96
2,combustion_related,mechanical_non_combustion_particulate,2,0.0036363636363636364
2,combustion_related,biological,0,0.0
2,combustion_related,fibrous_synthetic_materials,18,0.03272727272727273
2,combustion_related,industrial,2,0.0036363636363636364
2,combustion_related,mixed_unknown,0,0.0
3,fibrous_synthetic_materials,combustion_related,51,0.1608832807570978
3,fibrous_synthetic_materials,mechanical_non_combustion_particulate,40,0.12618296529968454
3,fibrous_synthetic_materials,biological,12,0.03785488958990536
3,fibrous_synthetic_materials,fibrous_synthetic_materials,169,0.5331230283911672
3,fibrous_synthetic_materials,industrial,4,0.012618296529968454
3,fibrous_synthetic_materials,mixed_unknown,41,0.12933753943217666
4,mixed_unknown,combustion_related,15,0.04132231404958678
4,mixed_unknown,mechanical_non_combustion_particulate,92,0.2534435261707989
4,mixed_unknown,biological,0,0.0
4,mixed_unknown,fibrous_synthetic_materials,16,0.0440771349862259
4,mixed_unknown,industrial,1,0.0027548209366391185
4,mixed_unknown,mixed_unknown,239,0.6584022038567493
