candidate_id,method,feature_space,k,selection_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,repeat_mean_ari,bootstrap_mean_ari,smallest_cluster_fraction,noise_fraction,cluster_entropy,eligible_for_final_selection,exclusion_reasons
selected_features__kmeans__k-6,kmeans,selected_features,6,0.6567273021373478,0.30483813710198815,623.2791949475786,1.1644433667980187,0.9932689060856993,0.9792769646074361,0.023391812865497075,0.0,0.7682893256310355,true,
pca_scores__fuzzy__k-6,fuzzy,pca_scores,6,0.6558707422402352,0.22995923787971256,684.6736727656591,1.4820498619464608,1.0,0.9802900945274473,0.06510721247563353,0.0,0.9338848418329571,true,
pca_scores__gmm__k-3__covariance-diag,gmm,pca_scores,3,0.6487285779591873,0.251951747101601,505.8485798909368,1.6144921857072767,0.9997475404531746,0.991306540698076,0.17855750487329436,0.0,0.9420829770495283,true,
selected_features__fuzzy__k-5,fuzzy,selected_features,5,0.6153015435516264,0.15445425461990564,533.0872194033276,1.5891036989254572,0.9937019841495882,0.9837965223387551,0.13801169590643275,0.0,0.979488586056641,true,
selected_features__gmm__k-2__covariance-diag,gmm,selected_features,2,0.588801844001842,0.281512787377099,469.90403291116064,2.093227614543393,1.0,1.0,0.27134502923976606,0.0,0.8433880544445855,true,
selected_features__fuzzy__k-6,fuzzy,selected_features,6,0.4659172151403895,0.08801370372424162,435.32895128063126,2.4348254752158787,0.9819340368473578,0.9675278984367058,0.03352826510721248,0.0,0.9287154119128067,true,
selected_features__hdbscan__mcs-52,hdbscan,selected_features,,0.8167954458807654,0.5075280497143471,1133.8953301473825,0.7569498962232984,0.9997327105842779,0.914958200258976,0.09317738791423003,0.6070175438596491,0.7901896813838927,false,"bootstrap_instability,excessive_noise,robustness_only_method"
pca_scores__hdbscan__mcs-52,hdbscan,pca_scores,,0.7899997255100447,0.5834728418707004,981.6413755954732,0.5611902416594784,0.9992040787927307,0.9026201982586631,0.028460038986354776,0.631578947368421,0.5583726541934669,false,"bootstrap_instability,excessive_noise,robustness_only_method"
pca_scores__kmeans__k-7,kmeans,pca_scores,7,0.7447928373445791,0.39867357019054606,901.9248429044992,0.9509971882764823,0.9988003463517466,0.9944246352575328,0.012865497076023392,0.0,0.7469188072588395,false,tiny_cluster
pca_scores__kmeans__k-8,kmeans,pca_scores,8,0.7365448910219556,0.4084064070393396,895.421355560305,0.9200550218857639,0.9983331947846728,0.9919709397756481,0.012865497076023392,0.0,0.7316179326449631,false,tiny_cluster
pca_scores__kmeans__k-6,kmeans,pca_scores,6,0.7360596463642473,0.38509087234574374,867.3610192892729,0.9284116360867527,0.9994878172338225,0.9647692859616642,0.012865497076023392,0.0,0.7596999804366933,false,tiny_cluster
pca_scores__ward__k-4,ward,pca_scores,4,0.6845790412973337,0.34462140606550096,749.1491543113515,1.1760402479658405,1.0,0.8653066085411265,0.1259259259259259,0.0,0.8861065728765137,false,bootstrap_instability
pca_scores__ward__k-8,ward,pca_scores,8,0.6649111171957655,0.3924365175455219,807.9103514137273,0.965315552748774,1.0,0.873812238567819,0.0152046783625731,0.0,0.7340262942300751,false,"tiny_cluster,bootstrap_instability"
pca_scores__ward__k-5,ward,pca_scores,5,0.6632299853611144,0.34211338253202905,756.1183379016762,1.0853769278297578,1.0,0.8646801586204406,0.030019493177387915,0.0,0.8176371607677867,false,bootstrap_instability
pca_scores__ward__k-7,ward,pca_scores,7,0.6611477478104016,0.3773316926493845,777.497506053713,0.9942595438014801,1.0,0.8686187824479423,0.0152046783625731,0.0,0.7435857959830955,false,"tiny_cluster,bootstrap_instability"
pca_scores__ward__k-6,ward,pca_scores,6,0.6590553642435687,0.36463424280738094,752.8631754985007,1.028781906591224,1.0,0.8535020691342539,0.0152046783625731,0.0,0.7724448791281975,false,"tiny_cluster,bootstrap_instability"
selected_features__kmeans__k-7,kmeans,selected_features,7,0.6550142783760439,0.31947250242789865,622.5980544386786,1.0793979840659558,0.9919545503006674,0.9873949678198124,0.012865497076023392,0.0,0.7371047110346313,false,tiny_cluster
