feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46
num_particles,-0.13340692711891916,-0.472375550362713,-0.05453811488008766,-0.1806592145281238,-0.10714902215288342,-0.08746505609706783,0.10323977908221557,-0.059828614242234485,0.27509799237803095,-0.018303772130723348,0.17835340367562816,-0.007439796848932282,0.06959996462742948,-0.048760168537860304,0.009601878862746766,-0.005671464753244885,0.0770256149144379,-0.06828352487331765,0.10499556552179912,0.011714976340394522,-0.004927257975941102,0.04778957248821151,0.07662217934888245,-0.05490614326776316,-0.014024298962647815,0.018643529688793185,-0.08687403597888807,0.030229916491838784,-0.014882115239055237,-0.03950054560074382,0.05537002928898851,0.013939777415414465,-0.08497915649288705,-0.01773783311873659,0.23496240422746204,0.05526226588280705,0.018359308140698756,0.010177877955632552,-0.008962789367613916,0.04149942332638574,-0.04106151606510003,-0.055503574436966276,-0.0005365033470042559,-4.322962493836048e-05,-0.0001452326360119243,0.0
area_percentage,-0.983786524017916,-0.7545875262769174,-0.07436415541810235,-0.4761749879681709,-0.1538662402500867,-0.04311721559407416,0.2424076777366968,-0.18250958029851036,0.5190796531597126,-0.02346559220130416,0.2866851101577033,-0.08774868296930559,0.16260285041401484,-0.1153842048978688,0.057881447215967594,-0.027558779781293924,0.15707618563714354,-0.10586601939971182,0.0692177405877061,0.14598078602452452,0.012463588556724145,-0.014407246596470797,0.10208003546659015,0.0407117100646819,0.11257533222612197,0.004090646292659354,0.05774489678395227,-0.039066242063307825,-0.012444889603961189,0.024963138831273272,-0.056332128061749906,0.030027790065337453,0.04212785327428005,0.013367383776252626,-0.10719598218867928,-0.013528394059193963,-0.01535606746655066,-0.0007775154336693093,0.001780507965170623,-0.010495270254118042,0.011938061421659414,0.01596773981166394,0.00031559159816668344,0.000136999616253612,5.160596124281378e-06,-1.3574353473800567e-25
mean_pixel_intensity,1.4665741403931505,1.2277187166103314,0.004487387801103113,0.40916795707144216,-0.012415431448676646,0.08178789752154769,-0.009907048519055491,0.10292610599552056,0.20974138746413237,-0.047166646049101264,0.3657574569661054,0.01937069639915036,0.16978105870722487,-0.15725385070461062,-0.10366812116052093,-0.0372447437483056,0.13979116017236037,-0.056518320090378465,0.07585832192435242,0.20216518042828407,-0.08346558993577596,0.017246414105152673,0.10260700685880754,-0.000938021702542491,0.08247098927685378,0.0005477951331917561,-0.029780648739169285,-0.02388754686283447,-0.03995092825211539,0.018155823752094118,-0.0073555169551017255,0.03912394741817771,0.01972926285292725,-0.001108004985800881,-0.009982424316527301,-0.017811598622716935,0.0004792006097364447,0.0023137993885535284,-0.0012826526212602709,0.0005500886041241459,0.0018631403502521093,0.0011360848581633849,-0.0002041608681053369,3.104995658969205e-05,-5.296576032899352e-05,-1.2720812392018668e-25
orientation_entropy,-0.439134437774993,0.3753638753305456,0.3379109901113469,-0.05881312357022255,-0.032044358827369605,-0.01882422915591111,0.03950620455146573,-0.052747065814054916,0.13255042729586744,0.056794107971407416,0.062112918032576625,0.08988319620812976,-0.05147617242093832,0.009952044893658595,-0.02453970938373596,-0.011592798421184254,0.01913340425152131,-0.030167988137025557,0.06530549006677774,-0.026575595134496,-0.03970162625566866,0.035585964004742864,-0.0010242724692715401,-0.02036698415477917,-0.009906598832741401,-0.013154474728815733,-0.03370155967491883,0.033264397814090504,-0.020757941893283696,-0.029223742221939283,0.19162117918266747,-0.00698926743942779,-0.005417838928457744,0.015174177759594043,0.0784015284843678,0.03983138140243915,0.05443120971773769,-0.002254201682990833,0.004367380915899043,-0.0746270940663834,0.05886295677158969,0.1137538248705942,0.0026509470582037533,0.00011475540903797902,-0.00017413506106702263,2.985216840371082e-25
circular_variance,-0.3046279972281841,0.4029549861541343,0.3079155802379734,-0.05126462503297677,-0.016412579913944503,-0.02242932069793657,0.011677759757944071,-0.0528224412318012,0.14014127196079706,0.04262652232642778,0.009114092502640992,0.0765320216961255,-0.07901297224619075,-0.03001844168116084,-0.0030221145228216603,-0.0006566242743516169,0.019110995753032125,-0.12322667607236612,-0.015862307131927104,-0.06652025832835953,-0.0855706326397982,0.022907099028336556,-0.022937839321059625,-0.03803491094556271,-0.0010579394864302365,-0.03956758580933881,-0.0054976021002965175,0.09567487667662466,0.008085496168826416,-0.04066140778141161,0.3010384683747355,-0.027344065488733277,0.0040062043703450335,0.024930659327223405,-0.11126821288446341,-0.03777311664279527,-0.07399909137576782,-0.02224434921380729,-0.021209237765600006,0.03346325286828346,-0.027783862880191412,-0.059293061731038495,-0.002946028914435203,6.0884751583886275e-05,-0.00014534883374889106,2.238132825068268e-25
area_median,-0.9999668194428137,1.22060030272177,0.1039688029519753,0.048857993936062445,0.06447020081308621,0.0477854798908976,0.004681095021241665,-0.057383333631886836,0.1091760481052361,-0.004632823560166478,-0.03947558713418784,-0.04595742662109767,-0.03243171260090665,0.06863949323517558,0.07513545332818111,-0.06052064089140393,0.0750623877488979,-0.19510086273660943,-0.024560090999868327,-0.10266887656691685,0.005006437709594511,0.047721949996292624,-0.006950038019078081,-0.22099787093359333,-0.11028942523172695,0.006868135630977455,-0.027333781633755147,-0.0439387879796183,-0.004853490313152954,0.039472690244811856,-0.15530267211434218,0.02453731097498481,0.01060584836700181,-0.00406149502512997,0.027246045935218063,0.011614194134759451,-0.06071086486811315,-0.0035312026280400494,-0.08407937027759171,-0.013060797399902808,0.014529544360691187,-0.010501177851712729,-0.010503618477030872,-2.180261085885143e-05,-0.00044015076022808366,-1.4762590041494906e-25
area_iqr,-0.48181677899053277,0.49399720144534837,0.25051487011097595,0.014342229938026906,0.014754616384272987,0.05700621090302925,0.022330851671498248,-0.009414016188689457,-0.02287252861998122,0.00570526698455531,-0.017731585857590774,-0.005047050623302582,0.024241224792496043,0.07808713494394637,-0.01659672852206981,-0.04409809154649992,-0.0003597333651361533,0.07007539116707302,0.008504356477786357,0.042637613558825824,0.05116267655576386,-0.010637294251147435,0.0075441159055986235,-0.0030044009807318477,-0.0025274179464501957,0.004133412594714143,0.060877600184595246,-0.13091466053191667,-0.00851272976230865,-0.04525635547936676,0.015141317183796809,0.04345082868440048,-0.0052130800232153655,-0.006849931541509606,0.006523962353490718,-0.0017240267796075166,-0.006884248264037337,0.002297052176719091,0.025047617731929383,0.043501739069529685,-0.05811511135333199,0.03045790326184489,0.09733565489451805,7.062442424265947e-05,0.0001010511211369612,8.875107504126724e-26
solidity_median,0.32152727493581634,-0.26752844089955874,0.14402139814732828,-0.04562446758721023,-0.11267210191195363,-0.19125469101618886,0.05715097291523963,-0.025142858535493227,0.31777860998270874,0.36129773527588704,-0.14789521510503228,0.2832204856890185,-0.2219891468545387,0.29414215991107007,0.05193157127878162,-0.26863589461123233,-0.0892010245356259,0.12994647208576274,-0.0051736049699256164,0.3503558928851256,-0.15402777568340076,-0.018516114378252947,-0.14279234647150466,-0.077789508345012,-0.019105305499418187,-0.02270598113173331,-0.035045607375215754,0.008279990179989283,0.008182079654988591,0.028219464079205555,-0.035951365550902,0.045724017294215775,-0.0012987652684618362,-0.0010626130541664552,0.0028690091063893644,-0.006099257588507296,-0.01935843729880212,0.0010933283540362326,-0.0168092377789779,-0.0007590826828408275,0.0011201900117404336,-0.003068064487738057,0.00022427954507199568,1.5628007288419594e-06,-7.599663880071356e-05,-8.640192296912574e-26
solidity_iqr,-0.6862992815952321,0.20935238397352496,-0.0076071225571114984,-0.028407940240973543,0.11784371186708686,0.22839766997962127,0.0012436813324082307,0.05624414762787582,-0.24043719148349177,-0.06759855909044725,0.16121614324526504,0.05565068203629898,0.12665644381140484,0.014429998022294908,-0.040959382247350656,-0.038958574088471476,-0.06854977803221451,0.32622263459299927,0.082563339829426,0.19854321768593947,0.06300102260491515,0.11802153334113558,0.13034618727618477,-0.11057455090123443,0.044520210459600106,-0.015270777716806579,-0.08515146864482259,0.21209746351548456,0.15046152430289608,-0.1250732725153871,-0.0457600297267371,-0.06095494755354508,0.02828642097893579,-0.009385841762257053,-0.01129366842137577,-0.020251482440835692,-0.013551645249445288,-0.0038718237212207996,9.513584867590028e-05,0.002522641749091516,-0.00037617659155864244,0.0025897418168607006,-0.0006528063899225611,-0.0001505988469673718,-7.01324064750028e-05,1.3397610307021258e-25
aspect_ratio_median,-0.38011769355170566,0.5032096730602217,0.5192061000405317,-0.0004922310551614701,-0.045018242718448925,0.000712597065214331,0.0022258227666233405,0.0005348936939871792,0.17746752254465192,0.07939218820772068,0.05667846322744858,0.26068266184918915,-0.17699328605881395,-0.08274233718167358,-0.009831020509265376,0.06099257307212838,0.032187028964194224,-0.1196615933886574,-0.2680330473853686,-0.05114320103759905,0.05222916912537668,-0.03000655039857602,-0.001425181429065563,0.14815414611659783,0.05961960981310264,0.041132766984877014,-0.08977632345048693,0.1439397531473557,0.03171426395895586,0.011793288310590394,-0.11546603465409652,0.004059477470546789,-0.138529161401357,0.044820868886965924,-0.03637007445896643,-0.012589182715596255,0.09394718921832995,0.01885185943217929,0.041775540268258075,0.008253538306787716,-0.013942269449573661,-0.012101523341998599,0.0035871366633969197,-0.00015596901636567045,0.0002726640945555575,2.1695249099253054e-25
