cluster_label,count,mean_silhouette,median_silhouette,std_silhouette,min_silhouette,p10_silhouette,p90_silhouette
1,1335,0.48734260425063414,0.5292470447462777,0.13649327329643796,0.04180256010195833,0.2780541583644345,0.6242062462375403
2,550,0.32427501130847275,0.36190661791099554,0.13444585374461324,-0.07799734382041976,0.13449599908048399,0.46202822027959994
3,317,0.23174943373100665,0.2634180844544486,0.15533729514678046,-0.16120310760732964,-0.03261197975606969,0.4119829747573797
4,363,0.13573802561696433,0.17355970838556628,0.1377955656199154,-0.2198610247538475,-0.06900189902039451,0.29485762718905295
