selected_cluster_label,alternative_cluster_label,overlap_count,fraction_within_selected_cluster
1,1,31,0.023220973782771534
1,2,22,0.01647940074906367
1,3,1231,0.9220973782771535
1,4,51,0.038202247191011236
2,1,4,0.007272727272727273
2,2,3,0.005454545454545455
2,3,0,0.0
2,4,543,0.9872727272727273
3,1,0,0.0
3,2,315,0.9936908517350158
3,3,0,0.0
3,4,2,0.006309148264984227
4,1,346,0.953168044077135
4,2,16,0.0440771349862259
4,3,1,0.0027548209366391185
4,4,0,0.0
