name,longitude,latitude
PALLEJÀ (MERCAT MUNICIPAL),1.996502724,41.420848099
PALLEJÀ (ROCA DE VILANA),1.9905,41.4153
EL PAPIOL (CENTRE DE DIA JOSEP TARRADELLAS),2.0079,41.436
EL PRAT DE LLOBREGAT (JARDINS DE LA PAU),2.09772526,41.32149521
EL PRAT DE LLOBREGAT (CEM SAGNIER),2.082140639,41.321768405
EL PONT DE VILOMARA I ROCAFORT (CEIP POMPEU FABRA),1.87224076,41.701765985
RUBÍ (CA N'ORIOL),2.042497085,41.492082863
RUBÍ (L'ESCARDÍVOL),2.0296,41.4941
SABADELL (GRAN VIA),2.101405057,41.561175397
SABADELL (IES ESCOLA INDUSTRIAL),2.105157341,41.548225196
SANT ADRIÀ DE BESÒS (OLÍMPIC),2.2222,41.4256
SANT ANDREU DE LA BARCA (CEIP JOSEP PLA),1.9749,41.4508
SANT CELONI (CARLES DAMM),2.495746675,41.689049442
SANT CUGAT DEL VALLÈS (PARC DE SANT FRANCESC),2.088977264,41.476769365
SANT FELIU DE LLOBREGAT (EUGENI D'ORS),2.044453466,41.383226589
SANT FELIU DE LLOBREGAT (CEIP MARTÍ I POL),2.0574,41.3866
SANT JUST DESVERN (CEIP MONTSENY),2.066347853,41.38193008
SANTA COLOMA DE GRAMENET (BALLDOVINA),2.209511187,41.447350254
SANTA COLOMA DE GRAMENET (AJUNTAMENT),2.208196282,41.452115161
SANTA MARGARIDA I ELS MONJOS (ELS MONJOS),1.664199192,41.320516155
SANTA MARGARIDA I ELS MONJOS (LA RÀPITA),1.647339954,41.308402497
BARBERÀ DEL VALLÈS (AJUNTAMENT),2.125,41.5156
BARBERÀ DEL VALLÈS (MORAGUES - MONTSERRAT),2.125383709,41.512675808
SANTA MARIA DE PALAUTORDERA (MARTÍ BOADA),2.440944864,41.691273195
SANTA PERPÈTUA DE MOGODA (ONZE DE SETEMBRE),2.183795315,41.526705931
SANT VICENÇ DELS HORTS (RIBOT - SANT MIQUEL),2.009802277,41.392157459
SANT VICENÇ DELS HORTS (CEIP MARE DE DÉU DEL ROCIO),2.0021,41.3988
SANT VICENÇ DELS HORTS (ÀLABA),1.999634718,41.400770767
SANT VICENC DELS HORTS (CEIP MARE DE DEU DEL ROCIO),2.0021,41.3988
SENTMENAT (AJUNTAMENT),2.1359,41.6087
SITGES (VALLCARCA - DIPÒSIT AIGÜES),1.856563752,41.239068799
SITGES (VALLCARCA),1.8569,41.241
SITGES (VALLCARCA - OFICINES),1.859334489,41.242375047
SÚRIA (CEIP FRANCESC MACIÀ),1.7553,41.831
SURIA (CEIP FRANCESC MACIA),1.7553,41.831
TERRASSA (MINA PÚBLICA D'AIGÜES),2.014598316,41.567823582
TERRASSA (PARE ALEGRE),2.007401267,41.556115398
TERRASSA (CASAL CA N'AURELL),2.0,41.6
TIANA (AJUNTAMENT),2.26915353,41.481513156
TONA (IES TONA),2.223,41.8466
TONA (ZONA ESPORTIVA),2.217575622,41.846034209
VIC (ESTADI),2.238568301,41.9356664
VIC (CENTRE CÍVIC SANTA ANNA),2.257149921,41.919593952
VIC (MASFERRER),2.257302,41.929283
VILADECANS (ATRIUM),2.013824628,41.313475208
VILANOVA DEL CAMÍ (HORTS),1.637614343,41.567703441
VILAFRANCA DEL PENEDÈS (ZONA ESPORTIVA),1.686575492,41.346823038
VILANOVA I LA GELTRÚ (AJUNTAMENT),1.726292388,41.224091559
VILANOVA I LA GELTRÚ (PL. DE LES DANSES DE VILANOVA),1.721248774,41.219036461
VILANOVA I LA GELTRÚ (CENTRE CÍVIC TACÓ),1.72692,41.23429
ARANDA DE DUERO 2,-3.68888888,41.66555555
BURGOS 1,-3.6756,42.3508
BURGOS 4,-3.63611,42.33611
BURGOS 6,-3.6878,42.3477
MEDINA DE POMAR,-3.4753,42.9519
MIRANDA DE EBRO 1,-2.9175,42.68444444
MIRANDA DE EBRO 2,-2.94055555,42.68805555
SALAS DE LOS INFANTES,-3.28726,42.02331
CÁCERES,-6.342428,39.483799
